timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1
1774033719,k3s-control,41.2060316,6.0301512,0,1864.676,213.7719,560.6993,0.68
1774033719,k3s-worker-2,11.3402065,6.7010313,4.6391752,561.1562,641.586,177.4566,2.27
1774033719,k3s-worker-3,5.0505052,2.0202021,0,838.0977,72.101,284.8686,0.43
1774033721,k3s-control,38.0710699,5.583756,0,1867.629,156.86353,459.8914,0.68
1774033721,k3s-worker-2,10.6598983,5.0761422,1.5228426,561.1562,777.5318,234.0814,2.27
1774033721,k3s-worker-3,5.0251261,2.512563,0,838.6914,98.36696,303.8722,0.39
1774033723,k3s-control,36.2244882,5.1020407,0,1867.629,247.987,574.1862,0.62
1774033723,k3s-worker-2,11.22449,4.081633,3.571429,561.1562,813.4154,294.2359,2.17
1774033723,k3s-worker-3,4.5,2.5,0.5,838.6914,76.16958,278.5074,0.39
1774033725,k3s-control,40.9326384,26.9430089,0,1458.168,268.6464,617.839,0.62
1774033725,k3s-worker-2,11.2820515,4.1025642,0,563.1328,869.8881,333.1266,2.17
1774033725,k3s-worker-3,5.5276382,3.5175881,0,837.8594,104.16404,304.4097,0.39
1774033728,k3s-control,47.4489795,5.1020409,0,1718.453,247.1565,587.8413,0.65
1774033728,k3s-worker-2,10.769231,5.641026,2.051282,562.1641,846.5335,311.6118,2
1774033728,k3s-worker-3,5.0761418,1.5228425,0,839.7773,103.18405,308.533,0.33
1774033730,k3s-control,35.4166699,7.291667,0,1734.266,182.5934,507.0973,0.65
1774033730,k3s-worker-2,12.0603016,8.5427137,2.0100499,558.4297,828.9413,276.6164,2
1774033730,k3s-worker-3,6.5,2,0,839.5312,102.37892,306.0138,0.33
1774033732,k3s-control,33.6734696,4.5918369,0,1771.719,209.4559,576.782,0.65
1774033732,k3s-worker-2,9.6938777,5.1020408,2.5510199,561.5898,733.9386,238.8131,2
1774033732,k3s-worker-3,4.5918369,2.0408159,0,839.3125,98.89452,299.4838,0.31
1774033734,k3s-control,33.8461512,6.1538462,0,1800.219,227.9683,557.3015,0.6
1774033734,k3s-worker-2,8.2901552,3.1088081,0,561.5898,785.5334,279.0923,1.84
1774033734,k3s-worker-3,5.555556,4.040404,0.5050505,837.0039,117.64878,315.7686,0.31
1774033736,k3s-control,33.3333312,4.5454552,0,1819.797,238.0945,546.8141,0.6
1774033736,k3s-worker-2,9.2307686,3.5897439,0,561.5898,775.8554,263.5258,1.84
1774033736,k3s-worker-3,6.5326628,2.0100499,0,834.2969,80.16432,281.5613,0.31
1774033739,k3s-control,37.0558384,5.5837558,0,1833.355,214.6201,557.7799,0.55
1774033739,k3s-worker-2,10.7142863,4.0816331,0,561.5898,800.2433,273.0099,1.69
1774033739,k3s-worker-3,5.5555559,2.020202,3.030303,834.0508,94.74108,293.7506,0.28
1774033741,k3s-control,37.2448981,4.5918368,0,1843.781,226.4047,547.3897,0.55
1774033741,k3s-worker-2,11.111111,5.555556,1.5151515,561.3438,757.7779,249.2374,1.69
1774033741,k3s-worker-3,5.5555561,2.020202,0,834.0508,91.85425,280.9151,0.28
1774033743,k3s-control,37.9487175,6.1538456,0,1852.156,238.988,571.8195,0.55
1774033743,k3s-worker-2,11.1111113,4.5454551,0,561.0977,716.3636,218.3255,1.55
1774033743,k3s-worker-3,5.0761418,2.5380709,0,836.8945,85.88573,299.1219,0.26
1774033745,k3s-control,39.5939087,6.5989848,0,1851.262,185.216,515.3388,0.7
1774033745,k3s-worker-2,10.7142854,5.1020407,0,561.0977,766.5905,2144.433,1.55
1774033745,k3s-worker-3,4.5454549,2.5252529,4.0404039,841.0742,70.49983,287.4436,0.26
1774033747,k3s-control,39.0862914,4.5685282,0,1858.168,221.1181,556.6705,0.7
1774033747,k3s-worker-2,9.6938775,4.0816328,0.5102041,561.0977,779.7625,246.6438,1.55
1774033747,k3s-worker-3,4.5454551,2.5252531,0,839.8867,95.67031,1326.2008,0.26
1774033750,k3s-control,51.2690394,8.1218269,0,1863.984,190.8721,1498.4764,0.7
1774033750,k3s-worker-2,10.8247419,5.154639,1.5463918,561.8789,849.6373,302.1726,1.5312464
1774033750,k3s-worker-3,5.0761421,2.030457,0,839.3945,88.00248,288.8246,0.24
1774033752,k3s-control,33.3333315,5.1282052,0,1863.246,259.4969,956.7311,1.13
1774033752,k3s-worker-2,10.2040816,6.1224487,3.5714289,561.8789,764.257,241.9606,1.39
1774033752,k3s-worker-3,6.0606061,2.020202,0,838.9141,117.34442,308.4971,0.24
1774033754,k3s-control,39.3939408,6.5656571,0,1862.766,219.3076,553.2585,1.13
1774033754,k3s-worker-2,12.3076924,3.5897441,0.5128205,565.0391,705.5167,222.5592,1.39
1774033754,k3s-worker-3,6.5,2,0,838.9141,103.01002,293.8067,0.24
1774033756,k3s-control,32.8205115,5.1282052,0,1862.766,193.2948,520.5702,1.12
1774033756,k3s-worker-2,9.6446697,4.5685279,2.5380709,561.4922,722.1627,229.9955,1.28
1774033756,k3s-worker-3,4.5,2.5,0,838.668,114.30714,308.5006,0.22
1774033758,k3s-control,46.4285695,4.5918369,0,1863.18,166.65917,475.805,1.12
1774033758,k3s-worker-2,11.1675128,5.0761419,1.0152284,561.2461,749.1876,254.6748,1.28
1774033758,k3s-worker-3,5.5276381,1.5075377,0,838.668,95.95981,291.458,0.22
1774033760,k3s-control,39.3939414,4.5454552,0,1863.66,190.3797,604.2127,1.12
1774033760,k3s-worker-2,10.2040823,4.5918371,0,559.0312,820.6844,270.1444,1.18
1774033760,k3s-worker-3,6.5989852,1.5228426,0,838.668,145.0703,317.4707,0.22
1774033763,k3s-control,38.7755119,5.1020413,0,1863.18,251.1448,607.5213,1.11
1774033763,k3s-worker-2,9.6938779,4.081633,2.040816,558.8125,876.9309,313.9738,1.18
1774033763,k3s-worker-3,4.5454551,2.5252531,0,838.4219,108.34691,304.1008,0.18
1774033765,k3s-control,40.101521,7.1065992,0,1863.809,288.4725,676.5803,1.11
1774033765,k3s-worker-2,10.2564104,4.6153852,0.5128205,558.8125,920.9127,354.2268,1.18
1774033765,k3s-worker-3,6.060606,2.525253,0,833.7461,113.05523,315.8184,0.18
1774033767,k3s-control,39.5939075,4.5685277,0,1865.844,284.0712,628.5998,1.1
1774033767,k3s-worker-2,8.6734692,3.5714291,2.040816,561.7891,752.9979,234.4533,1.08
1774033767,k3s-worker-3,6.0606061,2.020202,0,833.7461,101.43896,293.8389,0.17
1774033770,k3s-control,45.7317068,6.0975606,0,1863.875,160.37394,482.9453,1.1
1774033770,k3s-worker-2,11.2820513,3.5897441,1.025641,562.1016,771.8331,248.8264,1.08
1774033770,k3s-worker-3,4.5,2.5,0.5,833.7461,99.17798,299.6555,0.17
1774033772,k3s-control,33.1632696,4.5918369,0,1886.719,255.5812,641.4717,1.09
1774033772,k3s-worker-2,8.7179485,4.6153847,0.5128205,561.6484,789.5303,262.5901,1
1774033772,k3s-worker-3,4.5226131,2.512563,0,833.5,97.01484,298.247,0.24
1774033774,k3s-control,33.8461517,4.1025642,0,1891.07,272.771,794.4833,1.09
1774033774,k3s-worker-2,11.3402066,4.6391752,0,561.4062,910.5414,310.6948,1
1774033774,k3s-worker-3,6.565657,3.030303,0,833.5,168.7243,293.7864,0.24
1774033776,k3s-control,32.9949218,5.0761423,0.5076142,1884.43,232.1995,575.3318,1.08
1774033776,k3s-worker-2,10.1522844,4.0609141,0,562.6445,747.3218,257.1848,1
1774033776,k3s-worker-3,4.5454551,2.0202021,0,833.2539,82.40664,279.0483,0.24
1774033778,k3s-control,33.6734709,6.1224492,0,1884.43,217.1545,551.807,1.08
1774033778,k3s-worker-2,13.1979696,6.5989848,0,555.7812,753.2668,258.7667,0.92
1774033778,k3s-worker-3,4.5226132,2.5125631,0,833.2539,78.31082,274.997,0.22
1774033780,k3s-control,42.168672,6.6265063,0,1883.758,187.9644,526.5173,1.08
1774033780,k3s-worker-2,9.5959597,5.0505048,7.0707068,554.0586,754.4513,245.1933,0.92
1774033780,k3s-worker-3,4.5226132,2.0100501,0,833.2539,109.33521,305.8408,0.22
