timestamp,node,cpu,mem,net,label
1773167126,k3s-control,0.07499753618480855,0.9367029622184982,0.08950122648543898,0
1773167126,k3s-worker-2,0.02202180231037821,0.010212415022867032,0.0803413283459842,0
1773167128,k3s-control,0.22203753716008665,0.9377693721486594,0.24985526763498747,0
1773167128,k3s-worker-2,0.031646147381869785,0.0,0.24732401770913492,0
1773167130,k3s-control,0.24081894408971036,0.9379036508200176,0.47367896777356044,0
1773167130,k3s-worker-2,0.026751717352046386,0.003484656846738187,0.3918838949388997,0
1773167132,k3s-control,0.2609222767903357,0.9367569231002362,0.5370615374616812,0
1773167132,k3s-worker-2,0.03218890159124101,0.004487175116603084,0.3645733724280035,0
1773167135,k3s-control,0.36516371479967286,0.9359361716851501,0.5327240984310436,0
1773167135,k3s-worker-2,0.022013448589936035,0.00810832794030965,0.37046825273649403,0
1773167137,k3s-control,0.37923202008519524,0.9372436271097654,0.5383022446137716,0
1773167137,k3s-worker-2,0.025409936738253504,0.006464037394228837,0.3751602786394019,0
1773167139,k3s-control,0.3734057520104943,0.9355834917978622,0.5527886547963908,0
1773167139,k3s-worker-2,0.023612523715078215,0.005192911338574479,0.38868549413609205,0
1773167141,k3s-worker-2,0.02341368249730047,0.00423956679683371,0.3960090236284189,0
1773167141,k3s-control,0.3567390123492056,0.934538510698269,0.5239593485365276,0
1773167143,k3s-worker-2,0.019011389449486747,0.003417554656243371,0.41885470692748,0
1773167143,k3s-control,0.352793816203675,0.9339913988878603,0.5509652446348804,0
1773167146,k3s-worker-2,0.01829545222017925,0.0018468051012926793,0.44197915422441686,0
1773167146,k3s-control,0.3847304541504668,0.9332551146590877,0.5557094857060574,0
1773167148,k3s-worker-2,0.017889281387681047,0.0015037727666346264,0.4858846061407543,0
1773167148,k3s-control,0.3739486630252819,0.9336695719798592,0.6281440806079338,0
1773167149,k3s-control,0.3449113755410486,0.9335021011309028,0.6338730288376038,0
1773167149,k3s-worker-2,0.013115012000365469,0.003063113815428078,0.49613956165846695,0
1773167151,k3s-control,0.32539063245779964,0.9328601385310991,0.6031240637190868,0
1773167151,k3s-worker-2,0.011473617656264602,0.0025558163079133613,0.4991414126912699,0
1773167153,k3s-control,0.3093587979313444,0.9320591312037844,0.6261036482525563,0
1773167153,k3s-worker-2,0.00964119627507378,0.0022683491633056245,0.5483190421826886,0
1773167154,k3s-control,0.2613646184969911,0.9314909005370786,0.6476630749595067,0
1773167154,k3s-worker-2,0.014020749036486384,0.0003985882483828409,0.5587578657333367,0
1773167156,k3s-worker-2,0.010355906154997272,0.0008877690920965434,0.5546373939911429,0
1773167156,k3s-control,0.24523986653744514,0.9297240439833834,0.6558617106737304,0
1773167159,k3s-control,0.2906189159076606,0.9295449787913176,0.6417345038557908,0
1773167159,k3s-worker-2,0.00781507210501245,0.0013684961111247785,0.5552524178638112,0
1773167162,k3s-worker-2,0.0042707213023751205,0.0015448452440658329,0.56260505714975,0
1773167162,k3s-control,0.31891176875583516,0.9291273532488828,0.7812232803558299,0
1773167164,k3s-control,0.3636076779901161,0.9289972808973505,0.7997310495672577,0
1773167164,k3s-worker-2,0.0034117724139282914,0.001726024250510362,0.5639964815092995,0
1773167166,k3s-worker-2,0.021125188190641946,0.001907203256955067,0.9893971479845528,0
1773167166,k3s-control,0.33086864195527743,0.9291241985090135,0.7844923179710167,0
1773167168,k3s-control,0.36551080890961357,0.9270382144021345,0.733796349569381,0
1773167168,k3s-worker-2,0.020829038224223755,0.0023963841006686814,0.965124282881592,0
1773167170,k3s-worker-2,0.021531151776168978,0.0028734871685149243,0.9645040868044721,0
1773167170,k3s-control,0.3934249653259389,0.9252366152644947,0.7437437024730307,0
1773167172,k3s-control,0.4543677966141951,0.9068545122817327,0.7343635643434573,0
1773167172,k3s-worker-2,0.024493883487861946,0.0032744934457580996,0.9215310425396916,0
1773167174,k3s-worker-2,0.02347481547038773,0.003218931347816293,0.8820611997420794,0
1773167174,k3s-control,0.47939375690510927,0.8526687542146617,0.6777399177322846,0
1773167178,k3s-control,0.5446496386168472,0.754242164546297,0.6657417539167025,0
1773167178,k3s-worker-2,0.021018991031179855,0.002786518524366143,0.8596319597931676,0
1773167180,k3s-worker-2,0.05330000115660486,0.0966320089229594,0.8937174172179569,0
1773167180,k3s-control,0.6090850878952154,0.6096888964063372,0.6715839583856666,0
1773167183,k3s-control,0.5743634615999973,0.5888110841057289,0.6969593193215438,0
1773167183,k3s-worker-2,0.0532158598391726,0.1926854503291959,0.882054046868232,0
1773167185,k3s-worker-2,0.052689194664780996,0.28930297581586173,0.8771489478754031,0
1773167185,k3s-control,0.5503448853194504,0.5958516411044434,0.58131448960323,0
1773167187,k3s-control,0.5013639320039373,0.6024045211574718,0.5440714665819856,0
1773167187,k3s-worker-2,0.054609775096065676,0.3863045875619657,0.872406230898817,0
1773167189,k3s-control,0.5113891920304549,0.6085798031153812,0.5516777622936172,0
1773167189,k3s-worker-2,0.041291652964654285,0.4835731503126671,0.43378902326554303,0
1773167190,k3s-control,0.48420573381585913,0.6148935970280627,0.6123312565970855,0
1773167190,k3s-worker-2,0.04280941770133197,0.5786265079691445,0.4841853260357295,0
1773167192,k3s-worker-2,0.048215377762469445,0.6782660747938071,0.4838182008817202,0
1773167192,k3s-control,0.4510251502499821,0.6209198512316353,0.6202505748846706,0
1773167194,k3s-worker-2,0.046480558508595254,0.7779092593854346,0.5054753824751366,0
1773167194,k3s-control,0.3896353470088256,0.6440342797269822,0.6326856765735837,0
1773167196,k3s-worker-2,0.05313227951785197,0.8812207205345675,0.5210467943500033,0
1773167196,k3s-control,0.35969211831208237,0.7029302396821706,0.7199977106792805,0
1773167198,k3s-worker-2,0.05173521708468356,0.9848075741445493,0.5293658660646645,0
1773167198,k3s-control,0.3256001750537604,0.8182222304730806,0.7190161908651277,0
1773167202,k3s-control,0.33690898739462005,0.9755437150348822,0.7138945327271494,0
1773167202,k3s-worker-2,0.026916132012022264,0.9938121342779666,0.5157384935292124,0
1773167205,k3s-worker-2,0.0312759266333135,1.0,0.5224439634726542,0
1773167205,k3s-control,0.35916340327597757,1.0,0.6798276370781633,0
1773167208,k3s-control,0.38293236665061603,0.9996255566447497,0.6804732445351427,0
1773167208,k3s-worker-2,0.09864861256005561,0.9945622179620182,0.5355327089921874,0
1773167211,k3s-control,0.3945779126097792,0.9962029739678822,0.6747732500586674,0
1773167211,k3s-worker-2,0.15003486767112595,0.9442925111157052,0.5267525796308064,0
1773167213,k3s-control,0.3673440792991599,0.9971345929185013,0.6938933369769695,0
1773167213,k3s-worker-2,0.19780440360027066,0.8392815992966567,0.5204861197168031,0
1773167215,k3s-control,0.37478789961356607,0.9985528102712612,0.6852847450669779,0
1773167215,k3s-worker-2,0.25178295587659644,0.7442705169478238,0.5159699195437573,0
1773167216,k3s-control,0.38526727917353754,0.9983521607265005,0.700748922807752,0
1773167216,k3s-worker-2,0.265220717515699,0.6477254735769047,0.527769178059486,0
1773167218,k3s-worker-2,0.2681771526117997,0.5517771174786181,0.5270871566062719,0
1773167218,k3s-control,0.4149869250589969,0.998018796398522,0.6743719016197286,0
1773167220,k3s-control,0.40652801331277955,0.9974563494215765,0.8419924419269975,0
1773167220,k3s-worker-2,0.2588796528079822,0.45270160381329966,0.5186429274061354,0
1773167222,k3s-control,0.34838417442092157,0.9855839443046585,0.9148861386054238,0
1773167222,k3s-worker-2,0.2620178326590139,0.3537275484126407,0.5526073530551447,0
1773167223,k3s-worker-2,0.25446241635362465,0.25479094772244804,0.5538423565832423,0
1773167223,k3s-control,0.2506620384515707,0.9778297959329553,0.9306598101700979,0
1773167225,k3s-control,0.24388139302860445,0.9795255495034434,0.9577229038371299,0
1773167225,k3s-worker-2,0.2501026218514409,0.1565440171001023,0.5559732664641083,0
1773167227,k3s-control,0.19824394004355728,0.9780330744276075,0.964630395298085,0
1773167227,k3s-worker-2,0.20184443079527534,0.07544623880017037,1.0,0
1773167229,k3s-control,0.1670776452449036,0.9796882747608017,1.0,0
1773167229,k3s-worker-2,0.15054724781204668,0.03848104621739048,0.9832805806375893,0
1773167231,k3s-control,0.1544995755651245,0.9773437098389989,0.9868018206681867,0
1773167231,k3s-worker-2,0.09672722469933555,0.05675951387292272,0.9726761287453407,0
1773167233,k3s-control,0.1521922447223915,0.9767054412508368,0.9656953846586833,0
1773167233,k3s-worker-2,0.04358101532644261,0.06503815205823969,0.9280366265055858,0
1773167235,k3s-worker-2,0.02403518019336484,0.07026453900534878,0.9080720953907259,0
1773167235,k3s-control,0.1911134956342847,0.9780288681077817,0.9520841657555219,0
1773167237,k3s-worker-2,0.02230665636400841,0.07601633703166526,0.9090664763521897,0
1773167237,k3s-control,0.15906629091703423,0.9793665182577268,0.9764825655623924,0
1773167239,k3s-worker-2,0.024650163545409817,0.08161475101499623,0.9054617758516884,0
1773167239,k3s-control,0.16660680828685662,0.9815336088391927,0.754732146435296,0
1773167241,k3s-control,0.16702572097722396,0.9826558603613987,0.6720947859288132,0
1773167241,k3s-worker-2,0.023523002892439502,0.08714068597468902,0.8913342801846214,0
1773167242,k3s-worker-2,0.025448915526255837,0.09300965017693126,0.8889310378501896,0
1773167242,k3s-control,0.1591159496395413,0.9838428919052787,0.6694808328680503,0
1773167244,k3s-worker-2,0.02787968047164144,0.09879769080717539,0.90059817777265,0
1773167244,k3s-control,0.09698282587354946,0.9850999613706147,0.6516338567383365,0
1773167246,k3s-worker-2,0.01609487565191143,0.09880252068067895,0.434605867213398,1
1773167246,k3s-control,0.08746050870526047,0.9864323401389836,0.6374577955473091,1
1773167248,k3s-control,0.08144413949650182,0.9875266843469617,0.6110861981025814,1
1773167248,k3s-worker-2,0.019582490809581243,0.09919024325973301,0.4408198298001199,1
1773167250,k3s-worker-2,0.04673651840389945,0.10323655172820038,0.48230139165694424,1
1773167250,k3s-control,0.08169423685510731,0.9889090940540262,0.599411144211814,1
1773167251,k3s-worker-2,0.13957329569502194,0.10536600028481417,0.4540583226923948,1
1773167251,k3s-control,0.07403288521021266,0.9887089702992432,0.5543023679887645,1
1773167256,k3s-worker-2,0.2415781400291312,0.10524159239074153,0.39601427733344374,1
1773167256,k3s-control,0.029329273567988225,0.9892592971431015,0.48066591182777446,1
1773167261,k3s-control,0.031087430021794392,0.9899612941729813,0.42702048912494706,1
1773167261,k3s-worker-2,0.33821935556793004,0.1040675651684675,0.3359617455430632,1
1773167266,k3s-control,0.10813987342649618,0.9906754113359486,0.35908221167481247,1
1773167266,k3s-worker-2,0.434811231320053,0.10659681717211131,0.2949075452976009,1
1773167270,k3s-control,0.1250950090608596,0.9926850480416326,0.3322013626344573,1
1773167270,k3s-worker-2,0.5286284229245938,0.10911882745760833,0.24954133189529984,1
1773167275,k3s-control,0.12151909398807116,0.9949527262904682,0.2556248843038257,1
1773167275,k3s-worker-2,0.6254896264780907,0.11148864416189895,0.1903815943685671,1
