timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1,label
1774028615,k3s-control,38.3838375,6.0606056,0.0,1639.5586,141.77104,407.0597,0.66,0
1774028615,k3s-worker-2,10.050251,3.517588,5.527638,550.5703,679.4533,221.3768,1.52,0
1774028615,k3s-worker-3,4.0609141,1.5228427,0.0,1128.0039,101.89351,300.5553,0.08,0
1774028618,k3s-control,45.9595975,4.5454547,0.0,1638.3281,230.2382,576.1481,0.66,0
1774028618,k3s-worker-2,8.7628872,4.1237111,2.061856,552.9766,841.85,300.3475,1.52,0
1774028618,k3s-worker-3,7.1428566,3.5714288,3.5714288,1118.6523,116.24211,319.672,0.08,0
1774028620,k3s-control,33.838381,6.0606062,0.0,1635.0078,240.4661,609.3258,0.66,0
1774028620,k3s-worker-2,12.3076922,5.1282051,0.0,540.9844,773.1101,241.6514,1.4,0
1774028620,k3s-worker-3,4.5226132,2.5125631,0.0,1118.6523,84.64276,282.1175,0.07,0
1774028622,k3s-control,31.818181,5.5555562,0.0,1635.0078,183.1481,511.7812,0.61,0
1774028622,k3s-worker-2,9.0452261,4.522613,0.5025126,540.4922,755.6816,252.2006,1.4,0
1774028622,k3s-worker-3,5.0505052,2.0202021,0.0,1118.6523,107.32745,300.7044,0.07,0
1774028624,k3s-control,33.1632689,5.6122448,0.0,1630.0938,180.6025,524.7019,0.61,0
1774028624,k3s-worker-2,43.2835823,18.905471,0.4975124,514.3594,847.4742,281.9734,1.29,0
1774028624,k3s-worker-3,5.5276381,2.01005,0.0,1118.4062,60.96017,256.0743,0.07,0
1774028626,k3s-control,72.0,26.5,0.0,1617.3008,339.6817,671.1906,0.56,0
1774028626,k3s-worker-2,44.949494,11.111112,9.0909098,566.7578,771.0931,273.038,1.29,0
1774028626,k3s-worker-3,44.2211082,27.1356789,9.5477386,1075.5195,228.2673,405.7607,0.07,0
1774028629,k3s-control,73.6842102,15.789474,0.0,1547.1875,160.12739,486.3903,0.76,0
1774028629,k3s-worker-2,42.2535193,22.5352096,2.816901,325.793,624.2251,67.11801,1.18,0
1774028629,k3s-worker-3,49.748742,5.0251262,0.0,728.4453,15.150881,242.2576,0.06,0
1774028635,k3s-control,60.6299208,5.5118111,3.149606,1570.9453,40.02511,313.7991,0.76,0
1774028635,k3s-worker-2,55.7142892,9.9999999,0.0,266.3711,580.7518,61.39067,1.17,0
1774028635,k3s-worker-3,5.5555561,2.525253,40.9090904,792.9219,27.51873,238.3977,0.12,0
1774028640,k3s-control,37.9487181,4.6153848,0.0,1573.6602,60.79685,353.2016,0.78,0
1774028640,k3s-worker-2,78.0,20.0,0.0,299.543,577.1936,74.33979,1.07,0
1774028640,k3s-worker-3,6.0606061,2.525253,0.0,793.668,11.875709,217.5787,0.11,0
1774028646,k3s-control,31.8181817,4.0404042,0.0,1584.2852,49.33495,323.7388,0.71,0
1774028646,k3s-worker-2,39.0804611,6.8965522,0.0,297.5742,568.4817,1824.087,0.99,0
1774028646,k3s-worker-3,3.5353541,2.5252531,0.0,794.7383,26.55473,1290.1798,0.19,0
1774028649,k3s-control,41.1167521,6.5989853,0.0,1582.7461,202.5005,2537.238,0.98,0
1774028649,k3s-worker-2,10.9890109,4.9450549,3.846154,342.0898,676.9574,167.36024,0.99,0
1774028649,k3s-worker-3,5.0505052,1.5151516,0.0,794.7383,57.23786,256.3608,0.19,0
1774028651,k3s-control,40.0000018,5.1282052,0.0,1583.1328,202.4994,549.1567,0.98,0
1774028651,k3s-worker-2,10.7692314,4.6153852,0.0,342.0898,789.9943,262.2201,0.99,0
1774028651,k3s-worker-3,6.0606061,2.020202,0.0,794.4922,90.05536,284.0899,0.17,0
1774028654,k3s-control,45.9183677,5.1020407,0.0,1582.6406,283.9206,634.8756,0.9,0
1774028654,k3s-worker-2,10.659898,4.060914,0.0,349.5,862.3592,334.3078,0.91,0
1774028654,k3s-worker-3,4.5454551,2.0202021,0.0,794.7383,68.30689,256.929,0.17,0
1774028656,k3s-control,35.0,5.5,0.0,1580.4258,266.1745,634.4453,0.9,0
1774028656,k3s-worker-2,11.7948718,5.1282049,4.1025639,352.2656,838.0607,295.3505,0.91,0
1774028656,k3s-worker-3,4.0404041,3.0303031,0.0,794.7383,88.29274,284.6005,0.17,0
1774028658,k3s-control,34.5360811,5.6701032,0.0,1580.9961,262.4634,612.4005,0.99,0
1774028658,k3s-worker-2,9.1836728,5.1020409,0.0,352.7383,836.8681,307.5828,0.91,0
1774028658,k3s-worker-3,4.5226129,2.0100499,0.0,794.7383,98.50245,297.0226,0.16,0
1774028660,k3s-control,33.333331,6.0606062,0.0,1580.5195,229.1017,564.881,0.99,0
1774028660,k3s-worker-2,12.2448983,5.1020411,0.0,353.4531,755.7205,237.6411,0.77,0
1774028660,k3s-worker-3,6.0606061,2.020202,0.0,794.7383,77.62993,270.5931,0.16,0
1774028662,k3s-control,33.5025385,5.5837558,0.0,1580.5195,222.8061,551.5385,0.99,0
1774028662,k3s-worker-2,9.0452256,4.0201008,0.0,351.0195,804.7178,302.5313,0.77,0
1774028662,k3s-worker-3,6.0913711,2.030457,0.0,794.7383,80.64014,273.6449,0.16,0
1774028664,k3s-control,38.9534896,8.1395349,0.0,1587.6133,239.9866,580.1251,1.08,0
1774028664,k3s-worker-2,10.2040823,3.5714291,1.0204082,357.625,789.4681,258.9463,0.71,0
1774028664,k3s-worker-3,6.091371,3.553299,0.0,806.2852,97.28595,295.3445,0.14,0
1774028667,k3s-control,40.0000016,5.4054052,0.0,1587.4297,242.7022,616.3189,1.08,0
1774028667,k3s-worker-2,10.1522844,4.0609141,0.0,357.625,826.2345,269.0613,0.71,0
1774028667,k3s-worker-3,6.0606062,1.5151515,0.0,815.6172,78.20857,274.396,0.14,0
1774028669,k3s-control,39.0862919,6.0913713,0.0,1590.7383,234.341,583.9201,1.08,0
1774028669,k3s-worker-2,10.152284,4.568528,0.0,357.3789,760.496,264.8944,0.71,0
1774028669,k3s-worker-3,4.5226132,2.5125631,0.0,815.6172,89.94345,286.2318,0.13,0
1774028671,k3s-control,38.5786783,5.5837558,0.0,1590.0,198.126,524.6285,0.99,0
1774028671,k3s-worker-2,9.6446703,5.5837562,2.0304571,358.3359,724.1911,222.9526,0.65,0
1774028671,k3s-worker-3,5.0251261,2.512563,0.0,815.6172,99.62475,303.234,0.13,0
1774028673,k3s-control,58.3333311,6.6666671,0.0,1596.0195,261.6528,619.8797,0.99,0
1774028673,k3s-worker-2,9.0909094,4.5454552,0.0,357.6797,774.0087,250.5866,0.65,0
1774028673,k3s-worker-3,4.5454551,2.0202021,0.0,815.6172,90.67416,297.92,0.12,0
1774028675,k3s-control,40.4145097,7.2538859,0.0,1605.7109,201.0122,537.2019,0.99,0
1774028675,k3s-worker-2,9.2783508,3.6082469,0.0,357.9102,768.5873,249.8141,0.6,0
1774028675,k3s-worker-3,5.0251261,2.01005,0.0,815.125,81.40801,281.9932,0.12,0
1774028677,k3s-control,36.0406099,5.076142,0.0,1612.2852,212.9995,542.3362,0.99,0
1774028677,k3s-worker-2,10.1522844,4.0609141,0.0,355.6523,797.0046,264.7982,0.6,0
1774028677,k3s-worker-3,5.5555561,2.525253,0.0,813.8945,92.75858,302.402,0.12,0
1774028679,k3s-control,33.3333308,5.5555561,0.5050505,1645.043,215.6807,559.8382,0.99,0
1774028679,k3s-worker-2,9.6938777,4.5918369,0.0,354.1367,775.9891,260.7738,0.6,0
1774028679,k3s-worker-3,4.5,2.0,1.5,814.8477,91.63076,300.8047,0.11,0
1774028682,k3s-control,44.9494913,5.5555562,0.0,1645.043,189.6866,514.651,0.91,0
1774028682,k3s-worker-2,12.1827406,4.5685279,0.0,354.1367,771.0098,237.4108,0.71,0
1774028682,k3s-worker-3,6.5989848,1.0152284,0.0,814.8477,68.13203,272.2522,0.11,0
1774028684,k3s-control,32.9949213,5.0761422,0.0,1668.4492,236.6656,585.4616,0.91,0
1774028684,k3s-worker-2,9.1370558,4.5685279,0.0,353.8906,670.6402,199.6223,0.71,0
1774028684,k3s-worker-3,5.0251261,2.512563,0.0,814.8477,80.23382,262.607,0.11,0
1774028686,k3s-control,34.5177685,5.5837558,0.0,1675.582,193.5401,712.1385,0.84,0
1774028686,k3s-worker-2,10.6060611,4.040404,2.525253,352.3945,801.3348,259.9184,0.65,0
1774028686,k3s-worker-3,4.5226131,3.0150751,0.0,814.4531,107.3977,283.3993,0.26,0
1774028688,k3s-control,33.6734703,5.6122451,0.0,1679.535,209.9434,535.5166,0.84,0
1774028688,k3s-worker-2,12.2448976,5.1020408,0.0,349.4414,730.7661,234.7242,0.65,0
1774028688,k3s-worker-3,5.0761418,1.5228425,0.0,814.4531,71.03135,270.1046,0.26,0
1774028690,k3s-control,43.6548203,6.5989851,0.0,1676.7383,216.2663,512.2917,0.84,0
1774028690,k3s-worker-2,8.6294421,3.553299,0.0,351.332,807.562,258.8827,0.65,0
1774028690,k3s-worker-3,4.5226132,2.0100501,0.0,813.9609,63.9316,266.8201,0.3,0
1774028692,k3s-control,38.3838373,5.5555556,0.0,1675.2617,261.5592,630.6303,0.77,0
1774028692,k3s-worker-2,8.2474234,3.6082472,1.5463919,350.8398,838.282,288.1607,0.6,0
1774028692,k3s-worker-3,5.527638,2.01005,0.0,813.9609,75.90564,273.9684,0.3,0
1774028695,k3s-control,39.0862902,6.091371,0.0,1675.0156,232.2973,583.8085,0.77,0
1774028695,k3s-worker-2,9.2307691,6.6666671,2.051282,350.8398,802.3422,250.8717,0.6,0
1774028695,k3s-worker-3,7.1065989,2.5380709,5.0761419,812.8828,99.26847,294.9488,0.27,0
1774028697,k3s-control,37.1951189,15.8536585,0.0,1675.0156,281.0198,636.638,0.71,0
1774028697,k3s-worker-2,8.1218273,6.0913712,0.0,350.8398,732.3463,245.1409,0.6,0
1774028697,k3s-worker-3,6.0913711,2.030457,0.0,814.4023,99.98404,287.37,0.27,0
1774028699,k3s-control,32.9949216,6.0913713,0.0,1675.0156,237.9149,563.3464,0.71,0
1774028699,k3s-worker-2,9.2307687,3.5897439,0.0,354.7344,790.212,248.8598,0.55,0
1774028699,k3s-worker-3,4.0404042,2.0202021,0.0,813.9102,76.64663,287.8112,0.27,0
1774028702,k3s-control,56.9444409,6.9444441,0.0,1672.5547,204.8013,547.2808,0.71,0
1774028702,k3s-worker-2,8.673469,4.591837,0.0,353.7656,764.0927,238.5158,0.55,0
1774028702,k3s-worker-3,6.0606061,2.020202,0.0,813.418,83.59619,285.8825,0.25,0
1774028704,k3s-control,41.5300512,5.4644812,0.0,1672.5547,225.3827,588.4476,0.65,0
