timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1,label
1774304388,k3s-control,92.0792082,6.9306929,0.0,1282.1953,124.49428,397.8926,0.22,0
1774304388,k3s-worker-2,7.6923078,3.5897439,9.7435898,320.332,652.7457,200.7802,0.64,0
1774304388,k3s-worker-3,6.0606061,2.020202,0.0,1145.8242,89.59985,281.1322,0.74,0
1774304390,k3s-control,43.8596499,8.187135,0.0,1294.1797,184.2101,490.5076,0.22,0
1774304390,k3s-worker-2,8.2474232,3.6082471,6.1855672,319.1523,714.5527,233.517,0.64,0
1774304390,k3s-worker-3,5.0505052,2.0202021,0.0,1145.3594,89.27322,281.9303,0.74,0
1774304392,k3s-control,71.3043483,10.4347827,0.0,1299.1133,220.3812,550.8049,0.2,0
1774304392,k3s-worker-2,8.6294424,5.0761422,8.1218274,318.9062,765.8468,264.6404,0.59,0
1774304392,k3s-worker-3,6.0301512,3.0150751,0.0,1160.8633,108.29597,297.8403,0.68,0
1774304395,k3s-control,65.8119674,15.3846144,0.0,1300.4805,202.5171,550.1736,0.2,0
1774304395,k3s-worker-2,10.152284,5.076142,0.0,318.1172,725.2683,233.4742,0.59,0
1774304395,k3s-worker-3,6.5656571,2.020202,0.0,1160.1484,101.09499,288.2216,0.68,0
1774304398,k3s-control,55.8620687,6.8965518,0.0,1282.6797,221.4323,524.6289,0.17,0
1774304398,k3s-worker-2,9.6938779,3.571429,0.0,318.0703,703.818,231.5952,0.54,0
1774304398,k3s-worker-3,6.5989849,4.5685279,1.0152284,1159.6836,97.14333,299.0216,0.63,0
1774304400,k3s-control,26.6272205,7.1005921,0.0,1281.9414,217.227,523.8914,0.17,0
1774304400,k3s-worker-2,11.2820512,5.1282051,2.051282,318.25,782.1693,286.8438,0.54,0
1774304400,k3s-worker-3,5.0251261,2.01005,0.0,1159.6836,103.01105,293.432,0.63,0
1774304403,k3s-control,54.5454501,8.441558,0.0,1282.2383,184.998,484.6254,0.15,0
1774304403,k3s-worker-2,9.6446704,5.0761422,6.5989853,313.082,717.4924,245.3977,0.5,0
1774304403,k3s-worker-3,6.5989852,1.5228426,0.0,1159.6836,97.33549,278.1294,0.58,0
1774304405,k3s-control,59.701489,9.7014928,0.0,1282.7148,214.646,544.0367,0.15,0
1774304405,k3s-worker-2,8.7628868,4.1237109,14.9484537,311.6055,666.2571,187.2889,0.5,0
1774304405,k3s-worker-3,4.5454551,2.0202021,0.0,1159.6836,77.50252,261.2998,0.58,0
1774304408,k3s-control,57.9710112,10.1449282,0.0,1289.7578,214.3271,502.0111,0.14,0
1774304408,k3s-worker-2,9.6446703,4.5685282,0.0,313.4062,728.4458,238.7304,0.46,0
