timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1
1774294331,k3s-control,53.2467518,6.4935062,0,1312.4492,86.26586,344.5323,0.15
1774294331,k3s-worker-2,11.8556705,6.1855672,7.7319593,148.375,624.358,164.6817,1.38
1774294331,k3s-worker-3,5.5276378,2.5125629,0,676.1641,80.52439,271.5302,0.86
1774294334,k3s-control,73.3944962,11.9266054,0,1304.0391,173.8973,510.6601,0.15
1774294334,k3s-worker-2,11.3989644,4.1450781,0,148.375,707.9209,198.5736,1.17
1774294334,k3s-worker-3,5.4726369,2.487562,0,676.1641,68.63939,265.1522,0.86
1774294336,k3s-control,51.3698595,9.5890409,0,1311.5469,205.4598,564.7887,0.14
1774294336,k3s-worker-2,9.7435903,6.1538462,0,148.375,737.5196,215.042,1.17
1774294336,k3s-worker-3,5.0505052,2.0202021,0,675.918,68.73441,275.0682,0.86
1774294339,k3s-control,50.3496502,9.090909,0,1319.2773,177.6736,481.0987,0.14
1774294339,k3s-worker-2,12.7551016,5.6122448,9.6938777,155.42578,715.445,221.073,1.07
1774294339,k3s-worker-3,4.5454551,2.0202021,0,675.918,72.07236,274.3876,0.79
1774294341,k3s-control,48.0263168,8.5526314,0,1315.9609,178.5887,493.4725,0.13
1774294341,k3s-worker-2,9.6938775,5.6122447,1.0204081,157.60938,729.2517,204.3826,1.07
1774294341,k3s-worker-3,5.0761418,2.0304569,0,675.918,79.49524,1228.094,0.79
1774294344,k3s-control,54.0983616,5.7377052,0,1313.0078,156.9436,484.8057,0.13
1774294344,k3s-worker-2,11.2820511,6.6666671,0,156.87109,692.0819,430.8982,1.07
1774294344,k3s-worker-3,4.5685278,2.0304569,0,675.918,53.80249,249.0535,0.73
1774294346,k3s-control,36.2244903,8.1632651,0,1313.0078,242.9464,603.0291,0.12
1774294346,k3s-worker-2,10.3092784,5.1546392,6.7010313,156.63672,731.0407,218.148,1.07
1774294346,k3s-worker-3,6.0606062,1.5151515,0,675.918,76.51502,271.1083,0.73
1774294348,k3s-control,70.6422013,12.8440372,0,1306.4531,180.1481,1347.4056,0.12
1774294348,k3s-worker-2,9.7435903,5.1282052,1.025641,156.63672,712.503,206.1416,1.07
1774294348,k3s-worker-3,4.568528,2.538071,0,675.918,63.4546,254.4454,0.67
1774294351,k3s-control,59.3984968,9.0225555,0,1315.6875,178.4282,504.5193,0.11
1774294351,k3s-worker-2,10.2564104,5.6410262,0,150.73047,766.4285,214.2997,0.98
1774294351,k3s-worker-3,6.0301511,1.5075377,0,675.918,82.249,278.1422,0.67
1774294354,k3s-control,63.3333298,14.166667,0,1315.418,165.04983,478.7917,0.11
1774294354,k3s-worker-2,13.2653056,7.1428568,0,148.26953,675.2716,166.54758,0.98
1774294354,k3s-worker-3,5.0505051,2.5252531,0,675.4258,61.3574,250.892,0.62
1774294357,k3s-control,64.2857115,6.3492062,0,1317.4062,175.2894,481.4954,0.1
1774294357,k3s-worker-2,9.2307687,3.5897439,0,148.26953,745.8656,197.8239,0.9
1774294357,k3s-worker-3,6.0913708,1.5228425,0,675.4258,76.03391,267.5372,0.62
1774294360,k3s-control,48.3443682,8.6092717,0,1316.5312,210.6897,546.8683,0.1
1774294360,k3s-worker-2,9.6938777,4.5918369,0,148.26953,719.3273,211.9838,0.9
1774294360,k3s-worker-3,6.0913711,2.030457,0,675.4258,60.63088,256.5283,0.62
1774294362,k3s-control,43.7125705,8.3832341,0,1314.5625,232.7979,577.4831,0.17
1774294362,k3s-worker-2,11.7346945,4.0816332,5.6122452,151.03906,653.8925,173.2727,0.83
1774294362,k3s-worker-3,4.5454551,2.5252531,0,675.4258,56.7463,250.0527,0.57
1774294365,k3s-control,74.3589715,7.6923082,0,1314.2539,165.17795,460.7433,0.17
1774294365,k3s-worker-2,9.7435903,5.1282052,1.5384615,150.94531,723.9031,192.5937,0.83
1774294365,k3s-worker-3,4.5454551,2.0202021,0,675.4258,72.45175,264.6461,0.52
1774294367,k3s-control,49.3243201,8.783784,0,1308.4961,153.35394,459.147,0.16
1774294367,k3s-worker-2,13.7055842,5.0761421,0,155.76172,688.6742,187.306,0.7
1774294367,k3s-worker-3,4.5454551,2.0202021,0,675.4258,49.79403,248.8908,0.52
1774294370,k3s-control,67.4796747,7.3170735,0,1315.5469,140.11638,429.2393,0.16
1774294370,k3s-worker-2,10.7142857,4.0816329,0,156.03516,636.1534,166.8021,0.7
1774294370,k3s-worker-3,4.522613,2.512563,1.0050251,675.4258,53.87143,252.6519,0.48
1774294372,k3s-control,49.6731991,7.8431369,0,1315.9102,193.4635,525.1133,0.14
1774294372,k3s-worker-2,16.4102567,9.2307694,0,156.14453,773.89,223.1616,0.7
1774294372,k3s-worker-3,6.5,2.5,0,674.4414,58.93121,264.9951,0.48
1774294375,k3s-control,48.3221471,10.7382544,0,1301.8516,225.4293,574.4162,0.14
1774294375,k3s-worker-2,12.7551021,5.102041,0.5102041,155.91016,686.7022,195.7788,0.64
1774294375,k3s-worker-3,5.0251261,2.01005,0,674.4414,92.86301,288.9885,0.48
1774294377,k3s-control,57.3529388,10.2941178,0,1297.8477,175.7461,502.9467,0.13
1774294377,k3s-worker-2,10.8247417,5.6701028,0,155.17188,725.8988,209.4144,0.64
1774294377,k3s-worker-3,6.0913707,2.0304569,2.0304569,674.4414,86.21711,282.3462,0.41
1774294380,k3s-control,55.6451599,13.709677,0,1299.1836,149.31599,486.6987,0.13
1774294380,k3s-worker-2,15.3846158,5.6410263,3.0769232,154.1875,656.5041,178.0961,0.59
1774294380,k3s-worker-3,4.5454551,2.5252531,0,674.4414,54.36753,260.5565,0.37
1774294383,k3s-control,83,10,0,1294.4258,176.3866,518.8949,0.11
1774294383,k3s-worker-2,11.7948724,4.6153852,8.7179493,161.15234,717.9224,205.7028,0.59
1774294383,k3s-worker-3,6.6326529,3.5714289,0,674.4414,73.61297,269.1811,0.37
1774294386,k3s-control,48.0000014,8.6666673,0,1296.1562,201.9633,529.4969,0.11
1774294386,k3s-worker-2,9.2307691,4.1025641,4.6153851,156.24609,699.5526,222.0365,0.55
1774294386,k3s-worker-3,6.5326633,2.0100501,0,680.8164,67.23835,265.019,0.37
1774294388,k3s-control,48.0263174,10.5263154,0,1297.375,255.2566,608.9527,0.1
1774294388,k3s-worker-2,12.8205126,4.6153848,4.1025639,156,760.5748,230.7791,0.55
1774294388,k3s-worker-3,5.5276378,2.5125629,0,680.0781,53.38616,245.5743,0.34
1774294390,k3s-control,47.5862085,11.7241376,0,1292.1055,206.1745,528.8705,0.1
1774294390,k3s-worker-2,10.2564104,4.6153852,0.5128205,157,727.5011,238.3354,0.5
1774294390,k3s-worker-3,4.5,2,0,680.0781,78.40257,275.8086,0.34
1774294392,k3s-control,72.0720715,12.6126133,0,1289.2852,199.7997,529.4081,0.1
1774294392,k3s-worker-2,12.4324321,4.864865,1.6216216,153.55469,632.6522,176.3012,0.5
1774294392,k3s-worker-3,4.0404041,3.0303031,0,679.5859,62.39915,251.7969,0.31
1774294395,k3s-control,59.2,6.4,0,1291.3125,176.3048,525.5266,0.09
1774294395,k3s-worker-2,27.6595737,15.9574491,28.7234038,151.58594,587.768,94.54104,0.46
1774294395,k3s-worker-3,5.5837558,2.0304569,0,679.5859,17.25635,220.031,0.31
1774294399,k3s-control,37.5661408,7.4074071,0,1285.2422,88.20278,410.3966,0.09
1774294399,k3s-worker-2,44.2307709,48.076921,1.923077,148.76953,560.2714,60.83622,0.5
1774294399,k3s-worker-3,8.1218267,4.0609139,1.5228425,680.4492,29.08655,995.4774,0.29
1774294405,k3s-control,37.0370376,6.3492056,0,1296.8359,23.69746,310.2871,0.08
1774294405,k3s-worker-2,48.979592,48.979592,0,149.78906,445.7471,49.966,0.94
1774294405,k3s-worker-3,6.0301508,2.5125629,0,678.9766,17.39464,218.5968,0.24
1774294412,k3s-control,52.0270302,8.783784,0,1288.0312,41.50058,327.0656,0.07
1774294412,k3s-worker-2,45.0980386,49.0196085,1.9607839,144.66016,595.3912,48.26882,1.72
1774294412,k3s-worker-3,5.0505052,1.5151516,0,683.8828,18.30228,215.6442,0.21
1774294419,k3s-control,49.681529,7.6433118,0,1286.3281,49.31953,360.0744,0.07
1774294419,k3s-worker-2,44,50,2,146.36719,572.6605,55.19623,2.07
1774294419,k3s-worker-3,4.060914,2.030457,0,683.8828,20.66631,217.2775,0.19
1774294424,k3s-control,49.693252,6.7484663,0,1285.2773,67.96027,357.0976,0.06
1774294424,k3s-worker-2,31.8840611,33.3333312,30.4347811,145.11719,532.3431,61.97773,2.14
1774294424,k3s-worker-3,6.5989849,2.030457,0,683.1445,15.264006,208.5874,0.17
1774294431,k3s-control,70.9401687,11.1111108,0,1293.3789,49.72061,340.6349,0.05
1774294431,k3s-worker-2,27.9411791,36.7647088,29.4117591,144.81641,478.4696,54.85901,2.66
1774294431,k3s-worker-3,8.0808079,3.030303,0,682.6875,18.80558,215.4256,0.16
1774294436,k3s-control,42.8571411,6.5934072,0,1284.2617,45.48743,332.3661,0.05
1774294436,k3s-worker-2,24.1379273,27.586207,22.9885075,143.38281,510.7287,43.29505,2.66
1774294436,k3s-worker-3,4.0201011,3.015075,0.5025126,682.6875,20.69287,215.785,0.15
1774294442,k3s-control,61.8320638,9.1603056,0,1300.5391,76.54976,423.8769,0.04
1774294442,k3s-worker-2,44.8979604,48.9795905,2.040816,143.37891,529.8569,47.94375,3.49
1774294442,k3s-worker-3,8.6734693,3.0612241,0.5102041,681.2109,17.24087,232.1159,0.13
1774294446,k3s-control,50.6756761,7.4324314,0,1304.3242,121.01126,473.5063,0.04
1774294446,k3s-worker-2,33.3333323,12.1212128,0,151.16406,660.8653,108.92119,3.69
1774294446,k3s-worker-3,86.934673,5.0251262,0.5025126,678.9961,73.71221,341.552,0.13
1774294448,k3s-control,47.9166694,9.0277779,1.3888889,1302.1445,199.5844,503.7812,0.04
1774294448,k3s-worker-2,10.7142858,4.5918369,7.6530608,150.46484,764.3573,213.3112,3.69
1774294448,k3s-worker-3,97.0149257,2.4875619,0,678.5039,48.14073,275.0285,0.28
1774294450,k3s-control,50.6756803,8.108108,0,1301.8984,161.67964,481.3751,0.04
1774294450,k3s-worker-2,16.4285708,8.5714289,0,146.69531,679.5244,169.0116,3.39
1774294450,k3s-worker-3,98,2,0,675.0586,37.11531,255.1869,0.28
1774294453,k3s-control,40.8163279,7.1428566,0,1301.6523,178.826,553.9964,0.04
1774294453,k3s-worker-2,12.3711344,6.1855672,10.8247423,149.61719,737.7376,127.74013,3.39
1774294453,k3s-worker-3,98.00995,1.99005,0,675.0586,25.97795,232.6876,0.42
1774294455,k3s-control,46.8354396,8.2278479,0,1301.9453,130.0848,467.9606,0.03
1774294455,k3s-worker-2,27.7310897,7.5630249,0,150.89453,665.7417,144.3926,3.12
1774294455,k3s-worker-3,97.5124377,1.99005,0,673.9336,40.83424,254.1605,0.42
1774294458,k3s-control,46.7105292,7.8947369,0,1298.9102,141.42785,453.1012,0.03
1774294458,k3s-worker-2,18.6666687,5.9999996,9.9999993,153.69922,681.9492,155.92124,3.12
1774294458,k3s-worker-3,97.0149257,2.4875619,0,673.9336,27.91476,236.9644,0.55
1774294461,k3s-control,41.1764682,7.6470587,0,1298.9102,206.0368,576.8308,0.03
1774294461,k3s-worker-2,10.2040821,5.612245,0.5102041,153.24609,671.5532,163.96146,3.12
1774294461,k3s-worker-3,95.979899,4.020101,0,673.7148,58.51477,268.1946,0.55
1774294463,k3s-control,50.0000018,7.8947373,0.6578947,1308.8203,190.8475,503.1853,0.03
1774294463,k3s-worker-2,12.5714288,6.2857139,0,152.26562,561.6483,1186.2956,2.87
1774294463,k3s-worker-3,97.5,2.5,0,670.5156,19.30593,238.6894,0.83
1774294467,k3s-control,74.7747731,11.7117125,0,1306.2305,194.5368,539.7944,0.03
1774294467,k3s-worker-2,7.7319587,3.0927839,8.7628867,152.01953,554.1522,155.62768,2.64
1774294467,k3s-worker-3,98.5,1.5,0,670.5156,43.68883,250.2023,0.83
1774294469,k3s-control,54.0322602,8.870968,0,1291.2188,176.9253,2070.775,0.03
1774294469,k3s-worker-2,11.2244902,5.6122451,5.6122451,152.01953,899.891,251.3107,2.64
1774294469,k3s-worker-3,98,2,0,670.5156,55.13971,256.5831,1
1774294472,k3s-control,39.8876394,8.4269659,0,1294.7305,197.8244,554.1328,0.02
1774294472,k3s-worker-2,12.4260355,5.3254438,1.183432,143.89844,643.1827,188.8916,2.51
1774294472,k3s-worker-3,97,3,0,670.5156,77.87219,283.2574,1
1774294474,k3s-control,52.0833319,9.7222224,0,1294.7305,187.5684,536.2091,0.02
1774294474,k3s-worker-2,12.3076914,6.1538457,5.6410257,143.89844,754.1177,193.6769,2.51
1774294474,k3s-worker-3,98,2,0,666.8242,58.93302,264.8536,1
1774294477,k3s-control,49.3589712,7.0512822,0,1292.7617,194.2702,531.2142,0.02
1774294477,k3s-worker-2,13.0434782,5.4347831,6.5217391,149.65234,653.6261,153.78653,2.12
1774294477,k3s-worker-3,97.5,2.5,0,666.5781,39.33495,247.788,1.32
1774294480,k3s-control,69.1056919,8.1300812,0,1287.3672,162.97541,464.8615,0.02
1774294480,k3s-worker-2,13.1428568,4.5714289,5.1428569,144.73047,596.5326,144.89364,2.12
1774294480,k3s-worker-3,97.647059,2.352941,0,666.332,28.4494,225.0741,1.62
1774294483,k3s-control,46.3087228,9.3959736,0,1294.5938,138.78608,478.6752,0.02
1774294483,k3s-worker-2,21.0084014,9.2436976,21.0084014,144.74609,640.9961,136.10083,1.95
1774294483,k3s-worker-3,93.2203391,6.7796609,0,666.0859,52.88796,256.5618,1.62
1774294485,k3s-control,48.125,7.5,0,1291.1992,160.71944,470.4063,0.02
1774294485,k3s-worker-2,14.2011834,5.3254442,11.2426043,145.44922,636.795,154.66408,1.95
1774294485,k3s-worker-3,89.7959182,10.2040818,0,665.8398,64.76077,396.9103,1.62
1774294488,k3s-control,40.677968,7.3446326,0,1296.457,98.52179,411.7529,0.02
1774294488,k3s-worker-2,28.8888885,13.3333323,18.888889,150.80859,505.699,104.91429,1.8
1774294488,k3s-worker-3,92,8,0,668.957,46.8401,261.0266,1.9
1774294492,k3s-control,63.0630632,22.5225211,0,1294.4922,160.71497,491.9586,0.02
1774294492,k3s-worker-2,16.5517231,6.2068967,14.4827582,151.05078,664.9065,199.5465,1.8
1774294492,k3s-worker-3,90.1960791,7.8431369,0,668.5039,62.13106,239.8259,1.9
1774294494,k3s-control,72.1739156,9.5652177,0,1299.8984,188.6075,513.4713,0.02
1774294494,k3s-worker-2,10.2040815,5.6122447,0.5102041,150.31641,812.0173,197.9338,1.65
1774294494,k3s-worker-3,88.2352935,9.8039224,0,668.5039,99.76322,332.2439,1.9
1774294497,k3s-control,54.2253525,9.1549304,0,1299.4062,179.6611,526.8779,0.02
1774294497,k3s-worker-2,14.375,5.625,5,149.57812,650.9162,134.01566,1.65
1774294497,k3s-worker-3,92.3076918,7.6923082,0,668.2617,53.92626,244.37,2.63
1774294499,k3s-control,56.716419,9.7014928,0,1301.332,172.6077,501.2013,0.01
1774294499,k3s-worker-2,9.547739,5.527638,0,154.09766,682.061,185.0049,1.52
1774294499,k3s-worker-3,86.5384609,11.5384621,0,668.2617,51.96403,258.5216,2.63
1774294502,k3s-control,58.8709711,7.2580651,0,1309.3438,180.0002,517.4724,0.01
1774294502,k3s-worker-2,10.4972381,5.5248621,0.5524862,152.46875,807.062,243.8903,1.52
1774294502,k3s-worker-3,90.1960782,9.8039218,0,668.2617,105.92308,312.3603,2.63
1774294504,k3s-control,40.9638582,7.8313247,0,1306.1172,262.047,609.2028,0.17
1774294504,k3s-worker-2,11.7948723,4.6153851,0,151.48438,702.3696,168.889,1.52
1774294504,k3s-worker-3,89.1891891,10.8108109,0,666.3047,42.77258,287.8274,2.58
1774294506,k3s-control,41.4364599,6.629834,0,1313.9922,194.1376,528.2017,0.17
1774294506,k3s-worker-2,11.1731835,6.1452507,0,144.59375,928.3553,290.9368,1.4
1774294506,k3s-worker-3,9.5890411,5.4794521,2.739726,675.5,125.65862,422.9181,2.58
1774294508,k3s-control,39.0109906,7.6923081,0,1299.6328,224.3452,519.0706,0.17
1774294508,k3s-worker-2,10.7142862,6.6326531,7.1428571,144.59375,590.5475,167.61009,1.4
1774294508,k3s-worker-3,7.1065992,4.0609141,0,675.2539,67.39133,270.6009,2.38
1774294512,k3s-control,40,56,0,668.3906,147.51144,420.4026,0.16
1774294512,k3s-worker-2,9.6446704,3.5532991,7.6142133,140.88672,693.9765,191.9242,1.29
1774294512,k3s-worker-3,5.0761421,2.030457,0,675.2539,70.03348,275.9665,2.38
1774294516,k3s-control,50.4424791,35.3982294,0,597.0117,105.94942,392.7226,0.15
1774294516,k3s-worker-2,11.6751273,6.5989852,6.0913712,138.46484,692.2801,192.8905,1.29
1774294516,k3s-worker-3,5.6122448,3.5714289,2.5510199,675.2539,74.98178,301.8241,2.18
1774294520,k3s-control,58.4158406,40.5940604,0,1070.0781,104.47071,381.7534,0.15
1774294520,k3s-worker-2,9.6938781,4.591837,0,143.42969,629.5094,163.91029,1.09
1774294520,k3s-worker-3,10,3.5,0,675.0078,82.25374,1722.868,2.009
1774294524,k3s-control,48.4848485,38.3838388,0,822.6914,161.47589,463.5151,0.13
1774294524,k3s-worker-2,10.659898,4.060914,0,143.18359,646.5421,1396.2001,1
1774294524,k3s-worker-3,4.5685281,2.030457,1.5228426,674.2695,52.08271,250.6082,2.009
1774294526,k3s-control,59,40,0,793.918,190.8577,515.1462,0.12
1774294526,k3s-worker-2,14.4329903,5.6701031,9.2783512,150.11719,715.6162,227.9968,1
1774294526,k3s-worker-3,5.0761421,2.030457,0,673.5312,83.32856,278.241,1.7
1774294529,k3s-control,57,43,0,818.6641,224.1437,1574.4826,0.12
1774294529,k3s-worker-2,10.6598983,6.0913712,0,145.93359,737.4634,236.8922,0.92
1774294529,k3s-worker-3,5,2.5,0,673.5312,96.50684,299.1012,1.7
1774294533,k3s-control,57,42,0,493.4023,106.05815,388.9437,0.11
1774294533,k3s-worker-2,10.7692314,5.1282052,0,150.82422,613.0541,146.74703,1.73
1774294533,k3s-worker-3,5.0505051,2.5252531,0,671.8086,78.35127,280.8836,1.56
1774294537,k3s-control,54.4554456,43.5643565,0,1017.6172,211.3078,517.7804,0.34
1774294537,k3s-worker-2,10.7142859,4.5918369,0,149.36328,742.5527,246.0018,1.73
1774294537,k3s-worker-3,6.0913708,1.5228425,0,671.8086,67.195,260.5977,1.44
1774294540,k3s-control,49.2063499,16.666667,1.5873016,1091.0977,232.91,572.0368,0.34
1774294540,k3s-worker-2,10.2040816,5.1020408,4.5918368,148.83594,781.0446,231.962,2.23
1774294540,k3s-worker-3,5,2,0,671.5625,97.03153,289.5063,1.44
1774294542,k3s-control,69.2982465,12.2807014,0,1223.8164,185.5458,522.7368,1.1
1774294542,k3s-worker-2,63.7362597,35.7142898,0,53.57422,530.1133,58.62792,2.93
1774294542,k3s-worker-3,4.5918369,2.0408159,0,671.5625,18.84646,220.7567,1.32
1774294550,k3s-worker-2,65.3846154,32.6923077,0,851.3281,545.9489,64.7308,5.05
1774294550,k3s-worker-3,5.0505052,2.0202021,0,670.8242,16.356291,215.6754,1.03
1774294563,k3s-control,41.4772693,6.2499999,0,1314.4961,47.76458,325.1214,0.86
1774294563,k3s-worker-2,78,22,0,200.8945,515.9959,49.02105,5.13
1774294563,k3s-worker-3,4.5454551,2.0202021,0,665.4102,16.296784,224.3024,0.87
1774294572,k3s-control,39.4736821,6.3157893,0,1303.7383,41.7852,336.0747,0.88
1774294572,k3s-worker-2,66.0377387,32.0754694,0,404.582,550.0373,51.93143,9.52
1774294572,k3s-worker-3,5.0251261,2.512563,0,665.4102,30.13104,252.1145,0.8
1774294579,k3s-worker-2,76,22,0,944.8828,609.317,87.45742,13.68
1774294579,k3s-worker-3,5.5,2,0,674.2188,37.7682,251.7107,0.68
1774294590,k3s-control,68.8524565,9.0163925,0,1310.1328,93.55653,409.6657,1.19
1774294590,k3s-worker-2,16.5413533,9.0225561,72.9323312,943.6602,830.4654,1695.188,13.62
1774294590,k3s-worker-3,8.8397792,53.0386715,32.0442009,673.0625,38.13242,284.6089,0.81
1774294594,k3s-control,68.0672286,11.7647058,0,1310.207,192.3509,530.8456,1.41
1774294594,k3s-worker-2,8.8607589,5.0632909,63.9240491,941.0938,807.9286,253.9164,13.62
1774294594,k3s-worker-3,6.1452514,55.3072635,32.9608921,665.7227,96.91908,324.1774,0.81
1774294596,k3s-control,51.063831,9.2198582,0,1321.8633,190.8565,489.9075,1.41
1774294596,k3s-worker-2,8.673469,4.591837,2.040816,943.0391,761.9605,248.6542,12.69
1774294596,k3s-worker-3,7.3446327,51.4124279,34.4632786,663.0156,107.47944,333.9425,0.81
1774294599,k3s-control,50.335569,8.0536908,0,1303.4609,204.0172,535.7919,1.41
1774294599,k3s-worker-2,10.8247424,4.6391752,1.5463919,942.8203,823.8693,258.831,12.69
1774294599,k3s-worker-3,9.4674558,52.071009,31.9526594,668.3633,114.98806,328.9846,0.91
1774294601,k3s-control,41.0256404,7.6923081,0,1309.332,269.7292,631.4207,1.3
1774294601,k3s-worker-2,15.9509207,11.0429455,25.1533711,949.6289,547.0371,92.20909,12.69
1774294601,k3s-worker-3,9.0395481,53.1073406,31.0734504,671.1875,26.09941,251.6396,0.91
1774294603,k3s-control,38.918921,7.0270272,0,1308.625,192.3976,523.4847,1.3
1774294603,k3s-worker-2,13.9534875,5.8139528,11.6279066,948.4258,842.5046,273.2678,12.16
1774294603,k3s-worker-3,8.8888885,52.777777,31.6666682,670.4766,58.51081,280.2497,1
1774294606,k3s-control,41.1428606,8.0000001,0,1308.6875,239.3268,587.7765,1.2
1774294606,k3s-worker-2,15.8620688,6.8965519,17.2413798,963.8594,735.4663,205.3947,12.16
1774294606,k3s-worker-3,10.0840343,42.8571413,41.1764712,674.2891,51.2216,251.7292,1
1774294608,k3s-control,40.6593406,7.6923081,0,1315.1523,171.6517,483.0578,1.2
1774294608,k3s-worker-2,20.9677395,8.0645158,2.4193549,957.2344,775.4122,225.31,11.5
