timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1
1774295815,k3s-control,37.6884426,5.5276384,0.5025126,1298.5859,150.82334,434.4506,7.38
1774295815,k3s-worker-2,13.1979703,3.5532991,1.0152284,860.7461,684.3811,220.5897,3.4
1774295815,k3s-worker-3,6.5326628,2.0100499,0,821.4531,85.31966,278.5174,0.66
1774295817,k3s-control,41.8367329,6.1224494,0,1302.5703,234.1907,549.2504,7.38
1774295817,k3s-worker-2,10.7142861,4.591837,1.0204082,862.7852,727.8448,232.4444,3.12
1774295817,k3s-worker-3,4.5454551,2.0202021,0,821.4531,74.23028,267.6247,0.66
1774295819,k3s-control,42.0512806,8.2051281,0,1301.0547,180.471,531.096,6.95
1774295819,k3s-worker-2,13.4020621,5.6701031,9.7938141,860.8281,735.6972,212.1746,3.12
1774295819,k3s-worker-3,5.0251261,2.512563,0,821.4531,75.2752,276.3808,0.61
1774295822,k3s-control,38.974361,6.6666672,0,1299.3594,257.5539,632.5635,6.95
1774295822,k3s-worker-2,14.0703527,7.5376884,0,850.1719,790.8424,257.1153,2.87
1774295822,k3s-worker-3,4.5454551,2.0202021,0,820.7148,68.8783,266.3906,0.61
1774295824,k3s-control,42.3469412,6.1224492,0,1299.5273,250.5976,600.928,6.95
1774295824,k3s-worker-2,11.675127,5.583756,4.060914,850.1719,629.432,203.3899,2.87
1774295824,k3s-worker-3,7.5376881,4.020101,0,822.6289,57.09675,253.4,0.61
1774295826,k3s-control,39.2857119,7.6530614,0,1285.4336,203.8187,542.1035,6.56
1774295826,k3s-worker-2,12.2448985,4.5918372,7.1428573,848.2656,725.3963,214.0844,2.87
1774295826,k3s-worker-3,4.568528,1.5228426,0,821.4141,62.87649,256.3587,0.56
1774295828,k3s-control,42.0512811,7.1794872,0,1292.4492,212.113,547.0335,6.56
1774295828,k3s-worker-2,11.7948722,6.1538461,0,846.7031,738.4856,228.674,2.43
1774295828,k3s-worker-3,5,2.5,0.5,821.4141,51.02171,249.5656,0.56
1774295830,k3s-control,36.4102571,6.6666665,0,1288.0195,218.6568,568.5101,6.27
1774295830,k3s-worker-2,13.2653056,6.1224488,0,844.2812,770.7336,244.9987,2.43
1774295830,k3s-worker-3,4.5226132,2.5125631,0,820.9219,76.96447,279.8437,0.51
1774295832,k3s-control,37.7551011,7.1428572,0,1288.0195,222.5988,560.207,6.27
1774295832,k3s-worker-2,9.183673,5.102041,1.0204082,844.5664,747.3011,238.4275,2.24
1774295832,k3s-worker-3,4.5226132,2.5125631,0,828.5508,64.71809,255.3327,0.51
1774295835,k3s-control,38.265308,7.1428566,0,1291.0859,233.9504,588.9339,6.27
1774295835,k3s-worker-2,12.7551017,4.0816329,8.6734688,844.3203,711.769,210.5637,2.24
1774295835,k3s-worker-3,4.5454551,2.5252531,0,828.0859,67.82898,270.7248,0.47
1774295837,k3s-control,64.6464619,6.0606062,0,1281.7383,204.9329,532.4799,6.25
1774295837,k3s-worker-2,10.7692313,6.1538462,0,843.0234,708.441,203.0966,2.24
1774295837,k3s-worker-3,4.5685278,2.0304569,0,828.0859,58.68874,258.0788,0.47
1774295839,k3s-control,41.3265287,6.1224488,0,1282.9766,211.4303,560.2998,6.25
1774295839,k3s-worker-2,13.2653064,4.5918371,0,841.3555,711.1023,199.8946,2.06
1774295839,k3s-worker-3,5.0505052,1.5151515,0,828.0859,50.75168,243.4407,0.47
1774295841,k3s-control,38.3838408,6.5656571,0,1281.3867,250.0056,604.5927,6.25
1774295841,k3s-worker-2,9.6938783,4.5918371,0,840.8672,783.7434,263.8239,2.06
1774295841,k3s-worker-3,8.5858586,5.0505048,0,828.0859,145.63031,1087.3477,0.43
1774295844,k3s-control,40.3061212,6.6326532,0,1279.8555,231.3677,631.6687,5.91
1774295844,k3s-worker-2,10.3092784,3.6082471,6.1855673,838.6641,823.4191,795.9298,1.89
1774295844,k3s-worker-3,4.5226129,2.0100499,0,830.1914,65.36997,262.6842,0.43
