timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1,label
1774027118,k3s-control,32.9949226,4.5685284,0.0,1904.703,111.34999,353.4248,3.31,0
1774027118,k3s-worker-2,9.0909087,3.5353539,0.0,600.2656,632.5346,193.6542,0.08,0
1774027118,k3s-worker-3,6.0606061,2.020202,0.0,1020.1484,93.72548,286.3458,0.95,0
1774027120,k3s-control,33.6734696,6.1224489,0.5102041,1901.344,241.7856,621.8992,3.31,0
1774027120,k3s-worker-2,11.7346941,6.632653,0.0,599.3281,753.0071,239.7382,0.08,0
1774027120,k3s-worker-3,5.0761418,1.5228425,0.0,1020.1484,102.33532,294.2332,1.03,0
1774027122,k3s-control,32.4873083,6.0913707,0.0,1901.344,228.2635,556.4702,3.68,0
1774027122,k3s-worker-2,10.6598975,4.5685278,0.0,597.8633,826.9869,288.5784,0.07,0
1774027122,k3s-worker-3,4.5,3.0,0.0,1020.1484,87.46416,285.9736,1.03,0
1774027124,k3s-control,33.3333315,4.6153852,0.0,1900.852,257.8927,620.3384,3.68,0
1774027124,k3s-worker-2,9.2307692,4.6153851,3.0769231,597.3711,846.7884,297.7366,0.07,0
1774027124,k3s-worker-3,7.1065989,1.5228426,0.0,1019.9023,89.31078,284.0626,1.03,0
1774027126,k3s-control,45.9595977,4.0404038,0.0,1900.609,247.4534,601.1867,3.68,0
1774027126,k3s-worker-2,12.7551021,5.612245,1.0204082,594.1797,840.0386,306.5283,0.07,0
1774027126,k3s-worker-3,4.5226132,2.0100501,0.0,1019.9023,94.59417,288.8999,1.03,0
1774027128,k3s-control,32.8282811,6.0606062,0.0,1900.363,196.6169,547.4078,3.63,0
1774027128,k3s-worker-2,11.2244899,4.5918369,0.0,594.1797,766.8974,230.3779,0.14,0
1774027128,k3s-worker-3,4.5226132,2.0100501,0.0,1019.9023,85.25989,278.7986,1.03,0
1774027130,k3s-control,34.8484807,7.0707071,0.0,1898.395,224.4147,572.9614,3.63,0
1774027130,k3s-worker-2,12.3076919,7.6923079,0.0,591.1914,737.8481,249.9351,0.14,0
1774027130,k3s-worker-3,5.0761421,2.030457,0.0,1019.9023,92.42579,285.8964,1.02,0
1774027132,k3s-control,30.4568499,5.076142,10.152284,1895.688,181.8779,498.8171,3.63,0
1774027132,k3s-worker-2,15.7360402,9.1370555,0.0,591.1914,759.9018,260.8969,0.14,0
1774027132,k3s-worker-3,5.0251262,2.0100501,0.0,1019.9023,132.94066,323.1779,1.02,0
1774027134,k3s-control,34.6938803,5.102041,0.0,1900.016,219.3679,584.6514,3.46,0
1774027134,k3s-worker-2,9.6938781,4.591837,0.0,591.1914,837.8037,276.0849,0.2,0
1774027134,k3s-worker-3,6.060606,3.535354,0.0,1021.1602,116.31928,316.13,1.02,0
1774027136,k3s-control,33.6683413,6.0301512,0.0,1899.844,252.0989,582.2163,3.46,0
1774027136,k3s-worker-2,9.7938141,4.123711,0.0,591.1914,764.7121,263.3818,0.2,0
1774027136,k3s-worker-3,5.0,2.5,0.0,1020.9727,138.14427,327.6521,1.1,0
1774027138,k3s-control,45.4545475,5.0505047,0.0,1897.891,176.3993,509.1214,3.46,0
1774027138,k3s-worker-2,12.5628137,4.5226129,0.0,591.1914,776.7904,249.5291,0.27,0
1774027138,k3s-worker-3,6.5326631,2.01005,0.5025126,1020.4922,133.65467,343.633,1.1,0
1774027140,k3s-control,33.1632689,5.6122448,0.0,1897.152,159.85909,499.7109,3.34,0
1774027140,k3s-worker-2,10.2564105,4.1025642,0.0,591.1914,812.2038,281.9791,0.27,0
1774027140,k3s-worker-3,6.5656571,2.020202,0.0,1020.4922,84.95004,286.0284,1.01,0
1774027142,k3s-control,33.5025385,5.5837558,0.0,1896.414,240.1143,597.6825,3.34,0
1774027142,k3s-worker-2,10.6598975,4.0609138,0.5076142,590.957,812.5883,266.2185,0.27,0
1774027142,k3s-worker-3,5.0,2.5,0.0,1020.2461,74.79463,276.2711,1.01,0
1774027144,k3s-control,33.6734683,5.1020407,0.0,1895.676,206.1897,538.3693,3.23,0
1774027144,k3s-worker-2,13.7055843,6.0913711,0.0,590.7227,760.1015,243.7736,0.33,0
1774027144,k3s-worker-3,4.5454551,2.0202021,0.0,1020.2461,80.78565,276.3311,1.01,0
1774027146,k3s-control,32.1608022,5.5276384,0.0,1895.82,210.4929,556.644,3.23,0
1774027146,k3s-worker-2,9.6446698,4.0609139,0.0,590.7227,769.4522,676.9641,0.33,0
1774027146,k3s-worker-3,7.0707069,3.5353539,0.0,1020.2461,96.59661,1392.5996,0.93,0
1774027148,k3s-control,33.1632676,4.0816327,0.0,1891.363,220.0867,742.0092,3.23,0
1774027148,k3s-worker-2,12.7551024,7.1428572,0.0,599.7773,810.9834,229.2011,0.33,0
1774027148,k3s-worker-3,4.5454551,2.0202021,0.0,1020.25,97.59949,267.8997,0.93,0
1774027150,k3s-control,38.0710683,5.5837558,0.0,1891.711,192.1988,1139.5095,3.21,0
1774027150,k3s-worker-2,11.7346941,5.102041,0.0,596.4297,819.5123,264.6049,0.3,0
1774027150,k3s-worker-3,5.0761421,2.030457,0.0,1020.25,99.36502,292.3557,0.93,0
1774027152,k3s-control,33.6734696,4.5918369,0.0,1891.23,202.1575,583.2967,3.21,0
1774027152,k3s-worker-2,10.1010095,3.5353538,0.0,595.9609,782.7311,226.1752,0.3,0
1774027152,k3s-worker-3,5.0251261,2.01005,0.0,1020.0039,77.71865,271.1119,0.86,0
1774027155,k3s-control,45.685278,5.5837558,0.5076142,1891.184,224.3616,579.0382,3.21,0
1774027155,k3s-worker-2,11.7948723,5.1282051,0.0,595.7695,809.3628,278.757,0.3,0
1774027155,k3s-worker-3,4.0404042,2.0202021,0.0,1020.0039,86.3326,281.2372,0.86,0
1774027157,k3s-control,39.795918,5.1020407,0.0,1890.938,227.7908,587.5503,3.12,0
1774027157,k3s-worker-2,9.5477387,5.0251259,0.5025126,593.6797,807.5035,259.0544,0.28,0
1774027157,k3s-worker-3,4.5226132,2.5125631,0.0,1020.0039,71.96015,270.9926,0.79,0
1774027159,k3s-control,38.7755095,4.081633,0.0,1890.938,211.343,576.2333,3.12,0
