timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1,label
1774287426,k3s-control,49.6732012,6.5359482,0.0,1923.902,244.3711,642.8011,0.06,0
1774287426,k3s-worker-2,9.5477393,4.5226131,0.0,339.4766,849.0591,265.785,0.48,0
1774287426,k3s-worker-3,5.1282052,2.0512821,0.0,739.1758,59.88128,267.3813,0.05,0
1774287428,k3s-control,49.9999985,9.3333327,0.0,1933.863,308.7109,656.3326,0.06,0
1774287428,k3s-worker-2,10.7142857,6.1224488,0.0,336.3281,889.3833,330.7871,0.44,0
1774287428,k3s-worker-3,7.0707071,2.020202,0.0,739.1758,76.84189,266.3091,0.05,0
1774287430,k3s-control,53.5714271,9.2857135,0.0,1922.184,336.9668,748.3517,0.06,0
1774287430,k3s-worker-2,11.1111111,7.0707071,0.0,339.1484,884.8504,317.1893,0.44,0
1774287430,k3s-worker-3,4.5454551,2.0202021,0.0,739.1758,68.18438,264.721,0.05,0
1774287433,k3s-control,89.0,10.0,0.0,1925.07,306.5938,641.5808,0.05,0
1774287433,k3s-worker-2,9.7435895,4.6153847,0.0,338.1641,881.0831,295.9753,0.37,0
1774287433,k3s-worker-3,6.0606061,3.030303,0.0,738.6836,71.3588,274.5776,0.05,0
1774287436,k3s-control,62.2047243,10.2362207,0.0,1923.277,275.9864,629.03,0.05,0
1774287436,k3s-worker-2,10.7142863,4.0816331,0.0,340.0391,972.1038,309.1459,0.37,0
1774287436,k3s-worker-3,4.5454551,2.0202021,0.0,738.6836,128.83519,264.7407,0.05,0
1774287439,k3s-control,64.0,9.6,0.0,1932.82,324.3833,737.3543,0.05,0
1774287439,k3s-worker-2,11.1675124,4.0609138,0.0,339.0703,863.5185,293.7149,0.34,0
1774287439,k3s-worker-3,8.5858588,3.0303029,0.5050505,738.1914,76.89219,274.5798,0.05,0
1774287441,k3s-control,51.3888888,9.0277778,0.0,1924.074,359.8126,780.6232,0.04,0
1774287441,k3s-worker-2,10.1522837,5.0761419,0.5076142,339.0703,906.1913,342.9168,0.34,0
1774287441,k3s-worker-3,5.5555561,2.020202,0.0,738.1914,71.02478,265.3086,0.04,0
1774287443,k3s-control,52.8985491,7.9710139,0.0,1936.781,329.8248,742.3978,0.04,0
1774287443,k3s-worker-2,8.7179486,4.6153848,0.0,339.0703,899.2347,330.8045,0.34,0
1774287443,k3s-worker-3,6.091371,3.553299,0.0,737.6992,77.91549,269.9172,0.04,0
1774287446,k3s-control,80.5825234,12.6213595,0.0,1927.789,266.7406,580.211,0.04,0
1774287446,k3s-worker-2,9.1370556,4.0609138,0.0,338.3008,802.7545,257.2571,1.12,0
1774287446,k3s-worker-3,4.5454551,2.5252531,0.0,737.6992,57.04704,260.0866,0.04,0
1774287449,k3s-control,51.0489498,9.090909,0.0,1922.441,348.6279,795.539,0.04,0
1774287449,k3s-worker-2,12.8865979,4.639175,0.0,338.082,900.7452,342.7478,1.12,0
1774287449,k3s-worker-3,4.568528,2.538071,0.0,737.6992,98.03869,293.4165,0.04,0
1774287451,k3s-control,53.1914912,9.2198582,0.0,1910.715,375.241,806.5967,0.04,0
1774287451,k3s-worker-2,11.6161622,6.0606061,0.0,338.168,881.8602,320.9042,1.35,0
1774287451,k3s-worker-3,5.5555561,2.020202,0.0,737.6992,94.07767,284.1644,0.04,0
1774287453,k3s-control,51.4084494,9.8591549,0.0,1927.859,326.3993,762.5207,0.03,0
1774287453,k3s-worker-2,13.7055844,5.5837562,1.5228426,336.9766,883.8476,1209.1612,1.35,0
1774287453,k3s-worker-3,6.0606061,2.020202,0.0,744.582,60.14107,260.8989,0.03,0
1774287455,k3s-control,46.0000015,8.0000003,0.0,1938.832,376.7662,809.6676,0.03,0
1774287455,k3s-worker-2,10.2040819,5.1020409,0.0,336.2617,933.1342,691.9405,1.24,0
1774287455,k3s-worker-3,4.5918369,2.0408159,0.0,743.6367,93.44831,283.1389,0.03,0
1774287458,k3s-control,53.2846721,10.9489054,0.0,1933.672,346.6425,768.421,0.03,0
1774287458,k3s-worker-2,11.7346943,5.6122452,0.0,338.332,823.5794,269.6251,1.24,0
1774287458,k3s-worker-3,5.555556,2.525253,0.0,743.3906,76.20212,277.5134,0.03,0
1774287460,k3s-control,50.684931,10.2739732,0.0,1934.746,319.5265,744.5647,0.03,0
1774287460,k3s-worker-2,10.552764,4.522613,0.0,332.2031,883.3711,324.7881,1.24,0
1774287460,k3s-worker-3,6.5989849,1.5228426,0.0,740.4375,89.92471,283.5332,0.03,0
1774287463,k3s-control,60.1503768,9.7744355,0.0,1933.137,342.0985,1758.29,0.03,0
1774287463,k3s-worker-2,12.6903556,5.0761422,0.0,332.2031,838.121,291.8136,1.38,0
1774287463,k3s-worker-3,5.5837558,2.0304569,0.0,739.9492,79.5657,271.929,0.03,0
1774287465,k3s-control,58.4507031,7.0422544,0.0,1920.367,358.5772,814.9356,0.03,0
1774287465,k3s-worker-2,9.6446697,6.0913708,0.5076142,330.9727,903.4507,335.7927,1.38,0
1774287465,k3s-worker-3,4.5454551,2.5252531,0.0,739.9492,80.87736,270.2675,0.03,0
1774287467,k3s-control,33.519552,9.4972076,0.0,1919.383,418.3645,898.9852,0.03,0
1774287467,k3s-worker-2,10.2564103,6.1538462,0.0,330.9727,955.1857,352.7429,1.75,0
1774287467,k3s-worker-3,6.0301512,2.5125631,0.0,739.7031,84.06749,271.5905,0.03,0
1774287470,k3s-control,41.2429381,6.7796607,0.0,1922.336,422.5158,916.0283,0.02,0
1774287470,k3s-worker-2,10.2040815,6.1224487,0.0,330.9727,943.0328,343.8134,1.75,0
1774287470,k3s-worker-3,6.0606061,3.030303,0.0,738.9648,66.36434,257.8595,0.02,0
1774287472,k3s-control,51.4705869,12.4999992,0.0,1927.414,378.4309,829.4982,0.02,0
1774287472,k3s-worker-2,10.2040815,5.6122447,0.0,330.9727,877.2537,330.5101,1.69,0
1774287472,k3s-worker-3,5.527638,2.01005,0.0,738.9648,89.33004,279.7224,0.02,0
1774287474,k3s-control,52.6315777,11.2781945,0.0,1914.988,347.4978,753.6851,0.02,0
1774287474,k3s-worker-2,9.6938777,6.1224488,1.0204082,337.2422,958.4591,369.5978,1.69,0
1774287474,k3s-worker-3,7.035176,4.020101,0.0,734.3438,92.94367,283.8852,0.02,0
1774287477,k3s-control,52.1739122,10.1449284,0.0,1916.844,385.4571,876.3052,0.02,0
1774287477,k3s-worker-2,12.6903556,5.0761422,0.0,336.5156,827.8552,292.398,1.69,0
1774287477,k3s-worker-3,6.060606,3.030303,0.0,734.8281,81.97909,287.667,0.02,0
1774287480,k3s-control,68.8,7.2,0.0,1924.426,347.9981,793.3127,0.02,0
1774287480,k3s-worker-2,10.3092783,4.6391751,0.0,342.9453,922.2881,340.0675,1.8,0
1774287480,k3s-worker-3,6.0301507,4.0201008,0.0,734.582,98.28958,293.3211,0.02,0
1774287482,k3s-control,34.523811,8.9285712,0.0,1932.055,419.304,886.0524,0.02,0
1774287482,k3s-worker-2,10.2040819,7.1428569,0.5102041,341.7383,993.583,363.2995,1.8,0
1774287482,k3s-worker-3,5.0251259,2.512563,0.0,734.0938,90.05477,286.8674,0.02,0
1774287484,k3s-control,44.8275882,11.7241375,0.0,1930.086,415.242,862.3395,0.02,0
1774287484,k3s-worker-2,9.2307687,3.5897439,0.0,341.4922,919.8107,343.1944,1.834405,0
1774287484,k3s-worker-3,4.591837,3.061224,0.0,734.0938,118.38309,309.7731,0.02,0
1774287486,k3s-control,51.3698595,8.2191779,0.0,1921.527,343.3646,784.3367,0.02,0
1774287486,k3s-worker-2,10.8247424,5.1546392,1.0309278,340.082,938.3364,347.3961,2.14,0
1774287486,k3s-worker-3,6.5326631,2.512563,0.0,733.8477,102.62082,295.6389,0.02,0
1774287489,k3s-control,72.7272715,10.7438022,0.0,1913.898,372.9299,830.4399,0.02,0
1774287489,k3s-worker-2,10.6598982,7.1065991,1.0152284,332.957,863.0112,296.4553,2.14,1
1774287489,k3s-worker-3,5.0505051,3.030303,0.0,733.3555,93.33983,301.2625,0.02,0
1774287491,k3s-control,50.7462714,11.1940303,0.0,1910.562,323.3717,731.1913,0.02,0
