timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1
1774032985,k3s-control,32.8282808,6.5656572,0,1664.5781,236.5932,758.5248,1.89
1774032985,k3s-worker-2,8.6734693,3.5714291,0,336.2656,686.0709,186.7035,2.3
1774032985,k3s-worker-3,5.5276381,3.517588,0,813.5234,93.45121,271.1049,0.02
1774032987,k3s-control,34.3434314,4.5454552,0,1666.0586,178.1077,518.3463,1.74
1774032987,k3s-worker-2,9.5,5.5,0,336.2656,726.0296,216.3199,2.3
1774032987,k3s-worker-3,4.5,2,0,813.2773,69.75982,268.1589,0.02
1774032989,k3s-control,44.3877559,5.1020405,0,1665.8242,196.1338,523.2332,1.74
1774032989,k3s-worker-2,7.6923078,3.5897439,0.5128205,336.2656,733.9257,234.9984,2.258577
1774032989,k3s-worker-3,4.5226129,2.0100499,0,812.3242,100.75056,295.9153,0.02
1774032991,k3s-control,32.8282815,5.0505052,0,1670.1484,194.0003,526.8899,1.74
1774032991,k3s-worker-2,7.6923079,4.102564,7.6923079,336.2656,736.0697,212.5462,1.95
1774032991,k3s-worker-3,5.0505051,2.5252531,0,812.0781,72.38829,269.1637,0.02
1774032993,k3s-control,32.9949218,5.5837563,0,1669.1641,176.4634,490.8803,2
1774032993,k3s-worker-2,11.6751265,3.5532988,0,336.2656,736.444,219.453,1.95
1774032993,k3s-worker-3,4.060914,2.030457,0,812.0781,89.91164,284.3443,0.02
1774032996,k3s-control,35.0253799,5.076142,0,1660.2656,224.1706,583.9291,2
1774032996,k3s-worker-2,9.6938777,4.5918369,0,336.2656,832.8668,292.498,1.79
1774032996,k3s-worker-3,5.0761422,3.0456851,0,811.832,106.52808,300.6699,0.01
1774032998,k3s-control,37.9487183,4.1025638,0,1662.0117,254.1242,610.8797,2
1774032998,k3s-worker-2,9.1836732,4.5918371,0,336.2656,844.9384,306.0374,1.79
1774032998,k3s-worker-3,4.5454551,2.5252531,0,811.832,117.27896,309.0077,0.01
1774033000,k3s-control,49.7487419,6.0301512,0,1656.3516,213.8408,559.5333,2
1774033000,k3s-worker-2,18.3673503,18.8775503,0,98.98828,739.0847,218.1243,1.73
1774033000,k3s-worker-3,4.5454551,2.0202021,0,811.5859,40.50832,242.9383,0.01
1774033002,k3s-control,37.2448981,5.1020407,0,1656.3516,204.5787,538.1178,2
1774033002,k3s-worker-2,8.0808078,4.0404039,0,538.2539,728.3251,227.3514,1.73
1774033002,k3s-worker-3,5.0505052,1.5151516,0,811.5859,97.17139,292.9663,0.01
1774033004,k3s-control,37.5634508,4.5685281,0,1664.1797,194.6081,538.9714,2.16
1774033004,k3s-worker-2,10,6.5,1,545.0898,813.4543,261.1459,1.73
1774033004,k3s-worker-3,7.1065989,1.5228426,0,813.2852,118.46881,331.451,0.01
1774033007,k3s-control,32.3232313,4.5454552,0,1663.1445,210.5601,567.4502,2.16
1774033007,k3s-worker-2,10.2040816,3.0612239,0,553.6367,777.6799,221.7076,1.59
1774033007,k3s-worker-3,4.5454551,2.5252531,0,519.2031,64.76926,272.6055,0.01
1774033009,k3s-control,34.8484812,4.5454552,0,1662.8984,250.0147,606.6974,2.39
1774033009,k3s-worker-2,12.8205127,5.1282049,4.1025639,560.1992,796.4415,252.5111,1.59
1774033009,k3s-worker-3,12.886598,37.1134001,1.0309278,299.6914,91.61149,306.2027,0.01
1774033011,k3s-control,47.1794869,5.6410256,0,1660.9297,200.8539,567.8757,2.39
1774033011,k3s-worker-2,10.2564099,4.102564,6.153846,584.5977,905.5419,289.1182,1.46
1774033011,k3s-worker-3,5,2.5,0,966.0195,87.25595,309.4254,0.01
1774033013,k3s-control,35.3535373,6.0606055,0.5050505,1661.4219,184.2757,496.1398,2.39
1774033013,k3s-worker-2,11.1675132,4.5685281,7.6142131,584.3516,683.6429,181.5779,1.46
1774033013,k3s-worker-3,4.5685279,1.5228426,5.0761419,980.2188,71.72588,276.3894,0.01
1774033015,k3s-control,33.8383814,5.0505052,0,1663.6836,202.9306,537.5581,2.2
1774033015,k3s-worker-2,8.2474228,3.6082469,5.1546389,584.1094,815.8741,292.8548,1.46
1774033015,k3s-worker-3,5.555556,3.030303,0,991.1719,144.02825,343.8883,0.01
1774033017,k3s-control,32.4873112,4.5685282,0,1664.1328,196.2893,525.7465,2.2
1774033017,k3s-worker-2,10.552764,4.020101,0,584.1094,767.3447,249.4979,1.34
1774033017,k3s-worker-3,4.0404042,2.0202021,0,999.1211,76.79455,281.2749,0.01
1774033019,k3s-control,39.5939075,5.0761417,0,1663.3945,242.1368,585.8278,2.2
1774033019,k3s-worker-2,9.2307687,3.5897439,0,587.1016,838.3187,302.7897,1.34
1774033019,k3s-worker-3,6.5326633,2.0100501,0,1001.0742,140.04181,331.4804,0.01
1774033022,k3s-control,44.2211097,4.522613,0,1663.3945,201.3574,567.7928,2.18
1774033022,k3s-worker-2,9.137056,4.060914,2.030457,586.8594,796.2669,322.1739,1.24
1774033022,k3s-worker-3,5.5276379,2.512563,0,1001.0742,132.72081,318.3084,0.01
1774033024,k3s-control,37.3737374,5.5555556,0,1663.3945,226.1001,517.6597,2.18
1774033024,k3s-worker-2,12.1212121,5.555556,0,586.3672,808.9092,677.0445,1.24
1774033024,k3s-worker-3,4.5226132,2.5125631,0,1001.0742,109.67162,314.0335,0.01
1774033026,k3s-control,38.4615379,4.6153847,0,1663.3945,243.3759,578.5477,2.09
1774033026,k3s-worker-2,8.2051278,4.1025639,0,586.3672,829.2787,639.4658,1.24
1774033026,k3s-worker-3,7.614213,3.553299,1.0152284,1002.0586,104.79405,1429.7126,0.01
1774033028,k3s-control,36.2244911,6.6326532,0,1662.0898,243.9264,597.789,2.09
1774033028,k3s-worker-2,11.1111111,7.0707071,0,583.6602,836.9533,297.5653,1.14
1774033028,k3s-worker-3,5.0251258,1.5075376,0,1008.7344,104.79416,303.0008,0.01
1774033031,k3s-control,34.343431,5.5555562,0,1661.7266,275.3837,1308.831,2.08
1774033031,k3s-worker-2,11.7346936,5.1020408,0.5102041,587.2656,793.6828,276.8443,1.14
1774033031,k3s-worker-3,4.5454551,2.0202021,0,1008.4883,98.20429,291.2578,0.01
1774033033,k3s-control,32.4742304,4.6391751,0,1665.6328,185.7159,477.3161,2.08
1774033033,k3s-worker-2,8.6294417,4.5685279,3.5532989,587.2656,848.547,303.1998,1.14
1774033033,k3s-worker-3,4.0404041,2.5252531,0,1008.2422,100.74968,298.5697,0.01
1774033035,k3s-control,33.3333308,5.5555561,0,1671.5078,243.0922,599.3107,2.08
1774033035,k3s-worker-2,12.7551025,5.1020412,5.1020412,592.8867,748.1348,263.4387,1.05
1774033035,k3s-worker-3,4.5454552,1.5151516,0,1007.9961,118.09721,313.8929,0.01
1774033037,k3s-control,32.9949199,5.583756,0,1671.0859,241.1427,559.8669,1.91
1774033037,k3s-worker-2,9.1836734,3.5714292,5.6122453,591.918,808.0441,315.2866,1.05
1774033037,k3s-worker-3,6.0301509,2.01005,0,1007.9961,100.82845,301.3198,0.01
1774033039,k3s-control,32.663319,5.5276378,0,1670.8398,210.842,535.5538,1.91
1774033039,k3s-worker-2,10.5527643,5.5276382,0.5025126,587.4961,775.6475,270.0932,0.96
1774033039,k3s-worker-3,4.5226129,1.5075377,0,1007.9961,101.85769,295.5905,0.0088051
