timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1,label
1774037048,k3s-control,38.265308,4.5918368,0.0,1902.629,138.01981,412.7796,3.35,0
1774037048,k3s-worker-2,8.6734686,3.5714288,1.0204082,340.7812,719.0575,222.1307,0.42,0
1774037048,k3s-worker-3,6.0606062,1.5151515,0.0,772.2031,100.91836,287.8505,0.83,0
1774037050,k3s-control,42.9292902,8.585859,0.0,1903.059,250.2102,2564.459,3.35,0
1774037050,k3s-worker-2,11.1675128,6.0913709,10.1522838,339.332,768.3579,249.5017,0.42,0
1774037050,k3s-worker-3,5.0251258,1.5075376,0.0,772.2031,60.37359,254.952,0.83,0
1774037052,k3s-control,38.0710683,5.5837558,0.0,1903.059,244.978,582.6604,3.33,0
1774037052,k3s-worker-2,14.2131979,4.060914,0.0,353.8984,797.116,279.8061,0.39,0
1774037052,k3s-worker-3,4.5454551,2.5252531,0.0,772.2031,92.77484,295.0902,0.7,0
1774037054,k3s-control,44.9494918,4.5454552,0.0,1903.059,218.2249,536.7004,3.33,0
1774037054,k3s-worker-2,9.6938783,5.6122452,0.0,362.5859,761.1316,229.7516,0.39,0
1774037054,k3s-worker-3,6.5,2.0,0.0,772.2031,73.43031,270.7697,0.7,0
1774037056,k3s-control,38.8888912,5.5555562,0.0,1902.812,191.1193,537.3645,3.3,0
1774037056,k3s-worker-2,10.7142863,4.0816331,0.0,361.1992,784.5258,249.5864,0.36,0
1774037056,k3s-worker-3,5.0,2.0,0.0,771.957,92.96677,295.3792,0.7,0
1774037058,k3s-control,38.8888912,5.5555562,0.0,1902.566,195.6799,516.1585,3.3,0
1774037058,k3s-worker-2,9.0909089,6.0606059,5.0505049,365.4609,775.0025,255.482,0.36,0
1774037058,k3s-worker-3,5.5555561,1.5151515,0.0,771.957,90.86157,294.4458,0.64,0
1774037060,k3s-control,38.5786815,5.0761422,0.0,1902.566,247.9122,622.9555,3.3,0
1774037060,k3s-worker-2,10.1522843,4.5685281,6.0913712,365.3359,868.8803,306.416,0.36,0
1774037060,k3s-worker-3,6.0301509,2.01005,0.0,771.957,87.86097,283.0102,0.64,0
1774037062,k3s-control,46.4646467,5.5555556,0.0,1909.102,235.59,574.2969,3.2,0
1774037062,k3s-worker-2,9.1836726,5.1020408,14.7959174,365.3359,788.7243,277.2403,0.33,0
1774037062,k3s-worker-3,4.5226131,3.0150751,0.0,771.957,102.16908,303.5046,0.67,0
1774037064,k3s-control,34.6938775,6.6326525,0.0,1910.578,221.2049,560.8001,3.2,0
