timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,net_received,net_sent,load1
1776973072,k3s-control,85.5769221,11.5384623,0,952.0898,1027.2,194.6665,8.28
1776973072,k3s-worker-2,6.5656569,2.525253,0,727.4062,36.86713,257.1867,0.69
1776973072,k3s-worker-3,8.1632654,2.5510201,0,1086.1719,43.97764,277.7854,1.6
1776973072,k3s-worker-4,7.1794871,2.051282,0,720.3516,41.46626,257.0337,0.38
1776973072,raspberrypi,2.015113,1.0075567,0,2212.328,28.63026,256.7699,0.04
1776973075,k3s-control,75.4545462,12.7272724,0,946.9492,1071.1437,208.5043,7.77
1776973075,k3s-worker-2,10.2040815,4.0816328,0,723.25,41.35643,260.8816,0.69
1776973075,k3s-worker-3,5.0251258,3.0150749,0,1085.9531,48.47079,269.2946,1.6
1776973075,k3s-worker-4,7.179487,2.051282,0.5128205,720.3516,41.60898,259.9544,0.38
1776973075,raspberrypi,2.2613071,0.5025126,0,2216.781,46.28798,241.4746,0.04
1776973078,k3s-control,60.0000013,13.0769233,22.3076905,929.293,1083.7201,196.2769,7.77
1776973078,k3s-worker-2,6.0913711,2.030457,0,723.25,43.55933,263.2333,0.63
1776973078,k3s-worker-3,7.5757579,2.525253,0,1085.707,37.64752,258.6344,1.47
1776973078,k3s-worker-4,6.5656569,3.5353539,0,720.1328,41.99227,259.6185,0.35
1776973078,raspberrypi,2.7777779,0.7575758,0,2218.188,42.08611,296.584,0.91
1776973081,k3s-control,56.0000018,9.1428573,10.2857143,941.5664,1106.104,248.0092,7.39
1776973081,k3s-worker-2,7.0351761,2.512563,3.015075,723.25,46.73641,269.2719,0.63
1776973081,k3s-worker-3,8.0808079,3.030303,0,1085.4609,42.36283,254.5391,1.47
1776973081,k3s-worker-4,10.1010095,4.0404038,0,731.5312,46.52816,262.1543,0.35
1776973081,raspberrypi,2.5062661,0.5012531,0,2221.125,33.3795,277.9128,0.91
1776973083,k3s-control,43.0939189,10.4972377,12.1546957,941.875,1106.2312,213.0439,7.39
1776973083,k3s-worker-2,6.0606058,6.0606058,0,723.25,42.60837,261.9501,0.58
1776973083,k3s-worker-3,6.0301512,2.5125631,0,1084.9688,41.61384,260.3456,1.47
1776973083,k3s-worker-4,5.5837559,2.538071,0.5076142,731.0508,46.12981,272.4602,0.29
1776973083,raspberrypi,2.512563,1.5075377,0,2222.344,32.13554,284.9199,2.04
1776973087,k3s-control,71.3114776,23.7704892,0,941.543,1119.3051,191.9885,7.12
1776973087,k3s-worker-2,5.5555561,2.020202,0,736.8828,43.83726,278.7983,0.54
1776973087,k3s-worker-3,12.1212121,6.0606061,0,1087.2539,55.65809,270.5653,1.35
1776973087,k3s-worker-4,8.6294419,3.045685,0,730.5625,38.84143,245.4866,0.29
1776973087,raspberrypi,2.01005,0.7537688,0,2222.875,27.89083,261.3819,2.04
1776973090,k3s-control,34.3195303,13.0177511,2.95858,972.6289,1166.7514,251.7127,7.12
1776973090,k3s-worker-2,8.6294416,4.5685278,0,735.9141,48.6246,285.7129,0.54
1776973090,k3s-worker-3,8.1218271,2.030457,0,1080.625,37.8295,262.9771,1.24
1776973090,k3s-worker-4,4.568528,2.538071,0,730.3438,39.71064,252.8505,0.27
1776973090,raspberrypi,2.267003,1.511335,0,2223.703,36.13837,267.7373,2.029
1776973093,k3s-control,74.9999993,12.9629629,4.62963,941.8203,1084.0715,238.3643,7.35
1776973093,k3s-worker-2,7.070707,3.030303,0.5050505,735.6953,42.12082,268.0889,0.49
1776973093,k3s-worker-3,5.6410261,3.076923,0,1080.625,51.17166,271.8885,1.24
1776973093,k3s-worker-4,8.6294423,3.0456851,0,730.3438,44.33069,250.9866,0.27
1776973093,raspberrypi,2.255639,1.0025063,0,2225.156,38.56284,278.3964,2.029
1776973095,k3s-control,54.3147186,8.6294418,4.5685279,945.1992,1118.7767,264.85,7.35
1776973095,k3s-worker-2,7.6923078,3.5897439,0,735.2031,57.62291,272.7851,0.49
1776973095,k3s-worker-3,5.6122451,4.0816331,0,1080.625,43.01529,258.9664,1.24
1776973095,k3s-worker-4,7.0707069,3.5353539,0,730.3438,60.54388,282.9249,0.25
1776973095,raspberrypi,2.020202,0.7575758,0,2225.891,37.19038,269.4062,2.029
1776973098,k3s-control,61.421321,13.1979702,0,945,1212.479,2405.092,7.56
1776973098,k3s-worker-2,9.1370561,3.553299,0,734.8398,41.80655,257.2445,0.49
1776973098,k3s-worker-3,7.6530614,3.0612242,2.5510201,1080.625,50.98176,280.6714,1.14
1776973098,k3s-worker-4,6.6326528,2.5510199,0,734.8516,41.70968,257.9553,0.25
1776973098,raspberrypi,2.267003,1.2594458,0,2210.891,29.70609,262.6043,2.029
1776973101,k3s-control,82.1782184,11.8811878,0,933.3516,1107.3721,213.1113,8
1776973101,k3s-worker-2,6.5326631,2.01005,0,734.5938,41.6051,255.0173,0.45
1776973101,k3s-worker-3,6.0301509,3.5175879,0,1080.4062,47.67289,261.6258,1.14
1776973101,k3s-worker-4,11.1111114,4.0404042,0.5050505,729.6836,88.85033,1680.672,0.23
1776973101,raspberrypi,2.506266,1.2531328,0,2211.75,39.46768,283.4227,2.029
1776973103,k3s-control,46.4285699,8.163265,4.591837,939.75,1095.5848,239.6147,8
1776973103,k3s-worker-2,6.0913712,2.5380711,0,734.375,43.25013,252.7149,0.42
1776973103,k3s-worker-3,7.6142131,2.538071,0,1080.4062,53.18604,278.7947,1.05
1776973103,k3s-worker-4,6.5326628,3.5175879,0,729.6836,50.40261,276.1958,0.23
1776973103,raspberrypi,3.2663319,1.0050251,0,2215.25,34.95284,275.3782,2.038251
1776973106,k3s-control,35.9116012,10.4972384,4.4198902,939.3438,1068.7335,218.2367,8
1776973106,k3s-worker-2,5.5276382,3.0150751,0,731.1758,43.0231,255.2077,0.42
1776973106,k3s-worker-3,5.5837559,3.045685,0,1080.1875,50.3208,1273.588,0.89
1776973106,k3s-worker-4,6.0913709,2.5380709,0,729.6836,45.08384,261.7625,0.21
1776973106,raspberrypi,1.5075378,1.5075378,0,2218.453,36.74332,270.199,2.11
1776973109,k3s-control,33.727809,14.2011826,4.1420119,950.9102,1087.5945,212.4552,8.48
1776973109,k3s-worker-2,6.5989847,2.5380709,0,731.1758,46.6553,262.8706,0.4149957
1776973109,k3s-worker-3,8.2051279,3.076923,0,1079.9414,62.86967,259.6487,0.89
1776973109,k3s-worker-4,6.0913712,3.0456851,0,729.4648,37.1606,251.5664,0.21
1776973109,raspberrypi,1.5151515,1.010101,0,2219.641,34.13495,272.1396,2.18
