timestamp,node,cpu_user,cpu_system,cpu_iowait,ram_used,load1
1773106216,k3s-control,42.5641015,5.6410262,0,1858.957,0.63
1773106216,k3s-worker-2,7.6530614,3.0612242,0,690.4258,1.12
1773106218,k3s-control,42.3469408,7.6530611,0,1859.125,0.63
1773106218,k3s-worker-2,9.7435896,4.6153848,8.2051277,690.4258,1.03
1773106219,k3s-control,42.0512806,6.6666671,0,1858.879,0.58
1773106219,k3s-worker-2,9.0909087,3.5353539,0,690.4258,1.03
1773106220,k3s-control,64.4670045,9.1370552,0,1853.91,0.58
1773106220,k3s-worker-2,10.6598983,6.0913712,0.5076142,685.2578,1.03
1773106222,k3s-control,42.5641011,6.1538462,0,1853.941,0.58
1773106222,k3s-worker-2,8.6294419,3.045685,0,685.2578,0.95
1773106224,k3s-control,41.116752,6.0913713,0,1859.387,0.53
1773106224,k3s-worker-2,9.6938775,4.0816328,0,685.2578,0.95
1773106225,k3s-control,38.4615404,7.6923081,0,1859.152,0.53
1773106225,k3s-worker-2,10.3092777,3.6082469,0.5154639,690.168,0.95
1773106227,k3s-control,46.1538463,7.1794864,0,1858.75,0.53
1773106227,k3s-worker-2,9.6446703,3.5532991,9.6446703,690.168,0.87
1773106229,k3s-control,40.6091402,8.121827,0,1859.051,0.53
1773106229,k3s-worker-2,10.1522839,5.0761419,2.030457,689.4414,0.87
1773106230,k3s-control,43.3673469,6.1224486,0,1858.82,0.49
1773106230,k3s-worker-2,16.3265313,6.6326531,2.55102,689.4414,0.87
1773106232,k3s-control,43.8144314,8.2474233,0,1838.008,0.49
1773106232,k3s-worker-2,9.2307686,3.5897439,0,689.4414,0.87
1773106233,k3s-control,59.7989941,7.5376885,0,1835.812,0.49
1773106233,k3s-worker-2,9.6446696,4.0609138,0,689.4414,0.8
1773106235,k3s-control,43.0051823,6.7357514,0,1832.887,0.4862413
1773106235,k3s-worker-2,12.8205129,7.179487,0,691.125,0.8
1773106236,k3s-control,43.6548192,6.5989849,0,1833.582,0.45
1773106236,k3s-worker-2,12.1827416,6.5989853,3.0456851,692.1523,0.8
1773106238,k3s-control,42.0512804,6.6666671,0,1832.641,0.45
1773106238,k3s-worker-2,10.6060614,3.5353541,0,692.1523,0.8
1773106239,k3s-control,38.461541,7.1794872,0,1834.621,0.45
1773106239,k3s-worker-2,11.6751273,5.0761421,0,691.9062,0.74
1773106241,k3s-control,43.654821,6.5989852,0,1831.578,0.41
1773106241,k3s-worker-2,9.0452263,3.5175881,0,691.6602,0.74
1773106242,k3s-control,41.1167502,6.091371,0,1830.035,0.41
1773106242,k3s-worker-2,7.6923078,4.1025639,0,690.9219,0.74
1773106244,k3s-control,55.0505059,6.0606055,0,1831.246,0.41
1773106244,k3s-worker-2,9.0909093,4.0404041,3.0303031,690.9219,0.68
1773106245,k3s-control,41.6243669,7.1065985,0,1830.02,0.41
1773106245,k3s-worker-2,9.2783508,3.6082469,0,689.9375,0.68
1773106247,k3s-control,40.0000006,7.1794871,0,1830.887,0.94
1773106247,k3s-worker-2,9.1370558,5.0761419,0,693.5938,0.68
1773106248,k3s-control,36.9230772,7.1794865,0,1832.699,0.94
1773106248,k3s-worker-2,9.183673,4.081633,0,693.1289,0.68
1773106250,k3s-control,40.8163271,6.6326525,0,1834.336,0.94
1773106250,k3s-worker-2,9.0909086,5.0505048,0,693.1289,0.6719928
1773106251,k3s-control,40.609137,7.1065985,0,1830.453,0.94
1773106251,k3s-worker-2,10.3092777,4.6391749,0,687.8242,0.62
1773106253,k3s-control,43.654819,4.5685279,0,1830.926,0.86
1773106253,k3s-worker-2,11.1111109,3.535354,4.545455,687.5898,0.62
1773106255,k3s-control,54.8717905,8.2051281,0,1830.691,0.86
1773106255,k3s-worker-2,11.3402054,7.2164946,0,683.1602,0.57
1773106257,k3s-control,36.9230774,5.6410256,0,1838.102,0.8
1773106257,k3s-worker-2,9.1370564,4.0609142,8.1218274,683.1602,0.57
1773106259,k3s-control,38.1443312,5.6701032,0,1831.367,0.8
1773106259,k3s-worker-2,8.1218271,4.568528,0,682.9258,0.57
1773106260,k3s-control,41.4141408,6.5656571,0,1830.504,0.8
1773106260,k3s-worker-2,8.6734693,4.0816332,0,682.9258,0.56
1773106262,k3s-control,42.7835062,6.7010304,0,1829.566,0.73
1773106262,k3s-worker-2,8.1218274,4.0609142,0,682.9258,0.56
1773106264,k3s-control,44.1025613,5.6410262,0,1830.492,0.73
1773106264,k3s-worker-2,8.6294416,4.0609138,0,682.9258,0.56
1773106265,k3s-control,41.3265295,6.6326529,0,1831.887,0.73
1773106265,k3s-worker-2,11.2244903,6.1224492,0,682.6914,0.56
1773106267,k3s-control,38.6597897,5.670103,0,1832.859,0.73
1773106267,k3s-worker-2,12.3076924,4.6153851,0,690.3789,0.51
1773106268,k3s-control,41.326532,5.1020413,0,1832.238,0.62
1773106268,k3s-worker-2,10.2564105,4.1025642,0,690.3789,0.51
1773106270,k3s-control,39.4871802,8.205128,0,1834.27,0.62
1773106270,k3s-worker-2,11.2820513,5.6410261,0,690.1367,0.51
1773106271,k3s-control,43.1472081,5.5837558,0,1835.137,0.62
1773106271,k3s-worker-2,9.7435902,6.6666672,0,688.168,0.47
1773106273,k3s-control,36.5979404,5.1546391,0,1834.684,0.62
1773106273,k3s-worker-2,11.6751266,5.0761418,0,688.168,0.47
1773106275,k3s-control,40.51282,9.230769,0,1831.348,0.57
1773106275,k3s-worker-2,9.7435896,6.1538457,8.2051276,688.168,0.47
1773106276,k3s-control,43.1472081,5.5837558,0,1832.426,0.57
